"Region","Sub region","Country","Indicator","Oct_2019","Nov_2019","Dec_2019","Jan_2020","Feb_2020","Mar_2020","Apr_2020","May_2020","Jun_2020","Jul_2020","Aug_2020","n_missing"
"Europe","Southern Europe","SERBIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",502,432,520,486,386,399,350,459,440,450,451,0
"Europe","Southern Europe","SPAIN","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",7925,7479,7732,7422,7622,6341,5870,7994,9122,9377,9056,0
"Europe","Southern Europe","SPAIN","Sexual violence by IPFM* (domestic violence): Male victims",8,9,22,19,11,13,8,19,19,22,13,0
"Europe","Southern Europe","SPAIN","Sexual violence by IPFM* (domestic violence): Female victims",123,122,124,141,114,97,93,118,193,182,157,0
"Europe","Southern Europe","SPAIN","Physical asault by IPFM* (domestic violence): Male victims",1289,1219,1311,1254,1299,1075,1075,1507,1624,1590,1586,0
"Europe","Southern Europe","SPAIN","Physical asault by IPFM* (domestic violence): Female victims",6505,6129,6275,6008,6198,5156,4694,6350,7286,7583,7300,0
"Europe","Northern Europe","SWEDEN","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",1717,1644,1898,1855,1836,1915,1864,2061,2161,1967,NA,1
"Europe","Northern Europe","SWEDEN","Sexual violence by IPFM* (domestic violence): Male victims",10,6,14,6,4,5,8,8,7,11,NA,1
"Europe","Northern Europe","SWEDEN","Sexual violence by IPFM* (domestic violence): Female victims",187,185,197,172,163,158,118,171,156,163,NA,1
"Europe","Northern Europe","SWEDEN","Physical asault by IPFM* (domestic violence): Male victims",356,356,391,349,360,419,404,442,476,358,NA,1
"Europe","Northern Europe","SWEDEN","Physical asault by IPFM* (domestic violence): Female victims",1164,1097,1296,1328,1309,1333,1334,1440,1522,1435,NA,1
"Americas","Latin America and the Caribbean","URUGUAY","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",251,269,304,294,289,282,294,257,248,202,242,0
"Americas","Latin America and the Caribbean","URUGUAY","Physical asault by IPFM* (domestic violence): Female victims",251,266,316,389,288,323,283,281,255,255,268,0
