"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Region","Sub.region","Indicator","n_missing","Violence_Value","Population","Violence_per_million_people"
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,131,3277152,39.9737332903692
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,34,3277152,10.374862075363
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,31,3277152,9.45943306871332
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,73,3277152,22.2754391618088
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,38,3277152,11.5954340842292
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,33,3277152,10.0697190731464
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,95,3277152,28.9885852105731
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,57,3277152,17.3931511263438
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,55,3277152,16.7828651219107
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,88,3277152,26.8525841950572
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,49,3277152,14.9520071086114
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,44,3277152,13.4262920975286
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,86,3277152,26.2422981906241
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,40,3277152,12.2057200886624
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,35,3277152,10.6800050775796
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,3277152,NA
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,3277152,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,3277152,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-08",0,0,84.24941345,0,31,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA,3277152,NA
"bosnia and herzegovina","2020-08",0,0,84.24941345,0,31,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,3277152,NA
"bosnia and herzegovina","2020-08",0,0,84.24941345,0,31,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA,3277152,NA
"chile","2019-10",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9903,19144605,517.273665348541
"chile","2019-10",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1224,19144605,63.9344609094834
"chile","2019-10",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3888,19144605,203.085934653653
"chile","2019-11",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9886,19144605,516.385686724798
"chile","2019-11",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1193,19144605,62.31520577207
"chile","2019-11",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3983,19144605,208.048168139275
"chile","2019-12",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,10883,19144605,568.46302130548
"chile","2019-12",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1304,19144605,68.1131838447437
"chile","2019-12",NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,4224,19144605,220.636570981747
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,11178,19144605,583.872062129253
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1222,19144605,63.8299928361019
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,4294,19144605,224.292953550099
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9899,19144605,517.064729201778
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1124,19144605,58.7110572404079
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3680,19144605,192.221255021976
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9578,19144605,500.297603424046
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1035,19144605,54.0622279749308
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3626,19144605,189.400617040675
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,7776,19144605,406.171869307306
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,878,19144605,45.8614842144824
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,2889,19144605,150.904131999589
"chile","2020-05",31,86,39.94275178,31,79,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,19144605,NA
"chile","2020-05",31,86,39.94275178,31,79,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,NA,19144605,NA
"chile","2020-05",31,86,39.94275178,31,79,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,NA,19144605,NA
"chile","2020-06",30,90,234.13305904,45,90,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,19144605,NA
"chile","2020-06",30,90,234.13305904,45,90,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,NA,19144605,NA
"chile","2020-06",30,90,234.13305904,45,90,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,NA,19144605,NA
"chile","2020-07",31,93,194.4460235,62,93,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,19144605,NA
"chile","2020-07",31,93,194.4460235,62,93,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,NA,19144605,NA
"chile","2020-07",31,93,194.4460235,62,93,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,NA,19144605,NA
"chile","2020-08",31,93,95.4841467,62,93,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA,19144605,NA
"chile","2020-08",31,93,95.4841467,62,93,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,NA,19144605,NA
"chile","2020-08",31,93,95.4841467,62,93,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,NA,19144605,NA
"croatia","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,176,4100719,42.9193026881383
"croatia","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,13,4100719,3.17017576673749
"croatia","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,31,4100719,7.5596499052971
"croatia","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,136,4100719,33.1649157135614
"croatia","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,155,4100719,37.7982495264855
"croatia","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,19,4100719,4.63333381292403
"croatia","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,25,4100719,6.09649185911056
"croatia","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,121,4100719,29.5070205980951
"croatia","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,184,4100719,44.8701800830537
"croatia","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,44,4100719,10.7298256720346
"croatia","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,28,4100719,6.82807088220383
"croatia","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,132,4100719,32.1894770161038
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,190,4100719,46.3333381292403
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,21,4100719,5.12105316165287
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,43,4100719,10.4859659976702
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,148,4100719,36.0912318059345
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,222,4100719,54.1368477089018
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,38,4100719,9.26666762584805
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,46,4100719,11.2175450207634
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,144,4100719,35.1157931084768
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,209,4100719,50.9666719421643
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,13,4100719,3.17017576673749
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,42,4100719,10.2421063233057
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,163,4100719,39.7491269214009
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,190,4100719,46.3333381292403
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,4,4100719,0.97543869745769
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,46,4100719,11.2175450207634
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,143,4100719,34.8719334341124
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,222,4100719,54.1368477089018
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,9,4100719,2.1947370692798
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,54,4100719,13.1684224156788
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,163,4100719,39.7491269214009
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,292,4100719,71.2070249144113
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,19,4100719,4.63333381292403
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,72,4100719,17.5578965542384
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,212,4100719,51.6982509652576
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,250,4100719,60.9649185911056
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,16,4100719,3.90175478983076
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,55,4100719,13.4122820900432
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,190,4100719,46.3333381292403
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,295,4100719,71.9386039375046
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,13,4100719,3.17017576673749
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,65,4100719,15.8508788336875
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,217,4100719,52.9175493370797
"czechia","2019-10",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,NA,NA,NA
"czechia","2019-10",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2019-10",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2019-10",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2019-10",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2019-11",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,444,NA,NA
"czechia","2019-11",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,8,NA,NA
"czechia","2019-11",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,56,NA,NA
"czechia","2019-11",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,313,NA,NA
"czechia","2019-11",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,67,NA,NA
"czechia","2019-12",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,928,NA,NA
"czechia","2019-12",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,39,NA,NA
"czechia","2019-12",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,292,NA,NA
"czechia","2019-12",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,408,NA,NA
"czechia","2019-12",NA,NA,NA,NA,NA,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,189,NA,NA
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,720,NA,NA
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,27,NA,NA
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,148,NA,NA
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,381,NA,NA
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,164,NA,NA
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,623,NA,NA
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,19,NA,NA
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,136,NA,NA
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,332,NA,NA
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,136,NA,NA
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,406,NA,NA
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,7,NA,NA
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,90,NA,NA
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,218,NA,NA
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,91,NA,NA
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,354,NA,NA
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,8,NA,NA
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,62,NA,NA
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,206,NA,NA
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,78,NA,NA
"czechia","2020-05",31,31,7.870202524,62,55,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,NA,NA,NA
"czechia","2020-05",31,31,7.870202524,62,55,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-05",31,31,7.870202524,62,55,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-05",31,31,7.870202524,62,55,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-05",31,31,7.870202524,62,55,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-06",0,0,2.623400778,60,30,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,NA,NA,NA
"czechia","2020-06",0,0,2.623400778,60,30,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-06",0,0,2.623400778,60,30,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-06",0,0,2.623400778,60,30,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-06",0,0,2.623400778,60,30,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-07",0,0,3.185558096,62,31,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,NA,NA,NA
"czechia","2020-07",0,0,3.185558096,62,31,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-07",0,0,3.185558096,62,31,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-07",0,0,3.185558096,62,31,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-07",0,0,3.185558096,62,31,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-08",0,0,4.309872778,62,31,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,NA,NA,NA
"czechia","2020-08",0,0,4.309872778,62,31,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-08",0,0,4.309872778,62,31,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,NA,NA,NA
"czechia","2020-08",0,0,4.309872778,62,31,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,NA,NA,NA
"czechia","2020-08",0,0,4.309872778,62,31,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,NA,NA,NA
