"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Violence_Value"
"Guyana","2020-04",30,58,8.5200857,0,68,NA
"Guyana","2020-05",31,62,3.6514653,0,62,NA
"Guyana","2020-06",30,46,1.2171551,16,60,NA
"Guyana","2020-07",31,60,9.7372408,31,62,NA
"Guyana","2020-08",31,62,18.2573262,17,0,NA
"Iceland","2020-01",0,0,0,0,0,NA
"Iceland","2020-02",0,0,0,0,0,NA
"Iceland","2020-03",0,0,5.258702,22,32,NA
"Iceland","2020-04",0,0,21.034808,60,60,NA
"Iceland","2020-05",0,0,0,62,48,NA
"Iceland","2020-06",0,0,0,60,0,NA
"Iceland","2020-07",0,0,0,62,1,NA
"Iceland","2020-08",0,0,0,62,31,NA
"Latvia","2020-01",0,0,0,0,0,NA
"Latvia","2020-02",0,0,0,0,0,NA
"Latvia","2020-03",19,19,0,36,27,NA
"Latvia","2020-04",30,30,6.9111588,60,60,NA
"Latvia","2020-05",31,31,6.379531,28,62,NA
"Latvia","2020-06",30,30,2.6581379,0,60,NA
"Latvia","2020-07",31,31,0.5316276,0,62,NA
"Latvia","2020-08",31,31,1.5948828,0,62,NA
"Lebanon","2020-01",0,0,0,0,0,NA
"Lebanon","2020-02",0,0,0,0,0,NA
"Lebanon","2020-03",16,30,1.91489476,0,66,NA
"Lebanon","2020-04",30,60,2.26305742,0,86,NA
"Lebanon","2020-05",31,38,0.34816268,0,67,NA
"Lebanon","2020-06",30,30,1.39265072,0,60,NA
"Lebanon","2020-07",21,23,4.00387086,0,69,NA
"Lebanon","2020-08",21,53,17.93037826,0,50,NA
"Lithuania","2020-01",0,0,0,0,0,NA
"Lithuania","2020-02",0,0,0,0,0,NA
"Lithuania","2020-03",16,16,1.4200148,0,48,NA
"Lithuania","2020-04",30,30,9.9401037,48,86,NA
"Lithuania","2020-05",31,31,7.8100814,62,62,NA
"Lithuania","2020-06",16,16,2.4850259,60,32,NA
"Lithuania","2020-07",0,0,0.7100074,62,0,NA
"Lithuania","2020-08",25,25,2.1300222,62,25,NA
"Mongolia","2020-01",5,5,0,0,10,NA
"Mongolia","2020-02",29,29,0,0,58,NA
"Mongolia","2020-03",31,31,0,0,62,NA
"Mongolia","2020-04",30,30,0,0,60,NA
"Mongolia","2020-05",31,31,0,0,65,NA
"Mongolia","2020-06",0,0,0,0,60,NA
"Mongolia","2020-07",0,0,0,0,62,NA
"Mongolia","2020-08",0,0,0,27,62,NA
"Myanmar","2020-01",0,0,0,0,0,NA
"Myanmar","2020-02",0,0,0,0,0,NA
"Myanmar","2020-03",0,0,0.018602319,0,12,NA
"Myanmar","2020-04",27,44,0.093011595,3,81,NA
"Myanmar","2020-05",31,62,0,15,75,NA
"Myanmar","2020-06",30,60,0,0,60,NA
"Myanmar","2020-07",31,62,0,0,62,NA
"Myanmar","2020-08",31,62,0,0,62,NA
"Namibia","2020-01",0,0,0,0,0,NA
"Namibia","2020-02",0,0,0,0,0,NA
"Namibia","2020-03",5,10,0,0,0,NA
"Namibia","2020-04",30,60,0,2,14,NA
"Namibia","2020-05",31,37,0,0,58,NA
"Namibia","2020-06",30,30,0,0,60,NA
"Namibia","2020-07",31,31,3.11459,0,62,NA
"Namibia","2020-08",31,31,24.91671995,0,62,NA
"New Zealand","2020-01",0,0,0,0,0,NA
"New Zealand","2020-02",0,0,0,0,0,NA
"New Zealand","2020-03",11,20,0.19486795,30,27,NA
"New Zealand","2020-04",30,60,3.5076231,60,87,NA
"New Zealand","2020-05",13,26,0.58460385,62,26,NA
"New Zealand","2020-06",0,0,0,60,0,NA
"New Zealand","2020-07",0,0,0,62,0,NA
"New Zealand","2020-08",19,38,0,62,58,NA
"Peru","2020-01",0,0,0,0,0,NA
"Peru","2020-02",0,0,0,0,0,NA
"Peru","2020-03",17,48,2.837906469,16,48,NA
"Peru","2020-04",30,90,119.81939917,30,90,NA
"Peru","2020-05",31,72,459.352502,31,62,NA
"Peru","2020-06",30,60,522.5033875,30,60,NA
"Peru","2020-07",31,62,538.335923,31,62,NA
"Peru","2020-08",31,62,539.620444,31,62,NA
"Poland","2020-01",0,0,0,0,0,NA
"Poland","2020-02",0,0,0,0,0,NA
"Poland","2020-03",1,2,0.807592644,14,36,NA
"Poland","2020-04",30,49,15.396363072,30,60,NA
"Poland","2020-05",29,29,11.410502418,31,62,NA
"Poland","2020-06",0,0,10.003728328,30,60,NA
"Poland","2020-07",0,0,6.903614556,31,62,NA
"Poland","2020-08",0,0,8.440645688,31,62,NA
"Serbia","2020-01",0,0,0,0,0,NA
"Serbia","2020-02",0,0,0,0,0,NA
"Serbia","2020-03",17,48,2.35599974,1,38,NA
"Serbia","2020-04",30,90,23.11824732,30,80,NA
"Serbia","2020-05",31,43,10.16024872,31,62,NA
"Serbia","2020-06",30,30,4.71199936,30,10,NA
"Serbia","2020-07",31,31,42.84974636,33,62,NA
"Serbia","2020-08",31,31,21.4984977,62,62,NA
"Spain","2020-01",0,0,0,0,0,NA
"Spain","2020-02",0,0,0.020908106,0,0,NA
"Spain","2020-03",18,36,179.3079146,28,43,NA
"Spain","2020-04",30,60,346.42641,60,90,NA
"Spain","2020-05",31,57,84.092404,55,83,NA
"Spain","2020-06",20,20,11.9176211,60,37,NA
"Spain","2020-07",28,45,3.11530792,62,48,NA
"Spain","2020-08",31,40,23.8979657,62,62,NA
"Sweden","2020-01",0,0,0,0,0,NA
"Sweden","2020-02",0,0,0,0,0,NA
"Sweden","2020-03",7,7,27.08040211,42,16,NA
"Sweden","2020-04",30,30,239.6234136,60,30,NA
"Sweden","2020-05",31,31,169.5385714,62,31,NA
"Sweden","2020-06",30,30,83.9111042,60,30,NA
"Sweden","2020-07",31,31,25.17333105,62,31,NA
"Sweden","2020-08",31,31,6.67474696,62,31,NA
"Uruguay","2020-01",0,0,0,0,0,NA
"Uruguay","2020-02",0,0,0,0,0,NA
"Uruguay","2020-03",19,19,0,14,17,NA
"Uruguay","2020-04",30,41,4.42365234,30,30,NA
"Uruguay","2020-05",31,31,2.06437106,31,31,NA
"Uruguay","2020-06",30,30,1.4745508,30,30,NA
"Uruguay","2020-07",9,9,2.35928128,32,31,NA
"Uruguay","2020-08",1,1,2.65419142,62,31,NA
