"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Region","Sub.region","Indicator","n_missing","Violence_Value","norm_lockdown","norm_income","norm_workplace","norm_death","norm_violence","Month_date"
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,86,0.982396268872086,0.319031218917011,1.77159442264299,-0.13072788193268,-0.353477601464485,2020-04-01
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,40,0.982396268872086,0.319031218917011,1.77159442264299,-0.13072788193268,-0.378519720829463,2020-04-01
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,35,0.982396268872086,0.319031218917011,1.77159442264299,-0.13072788193268,-0.381241690325656,2020-04-01
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,11178,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,5.6849395288906,2020-01-01
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1222,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.264953868070619,2020-01-01
"chile","2020-01",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,4294,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,1.93733192653174,2020-01-01
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9899,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,4.98865973176437,2020-02-01
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1124,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.211603265945231,2020-02-01
"chile","2020-02",0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3680,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,1.60307407239922,2020-02-01
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,9578,-0.659551495314433,-0.875885710117612,-0.0016241239664861,-0.310213463618898,4.81390929010876,2020-03-01
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,1035,-0.659551495314433,-0.875885710117612,-0.0016241239664861,-0.310213463618898,0.163152208912991,2020-03-01
"chile","2020-03",7,14,0.409144696,0,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,3626,-0.659551495314433,-0.875885710117612,-0.0016241239664861,-0.310213463618898,1.57367680184033,2020-03-01
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,7776,0.982396268872086,0.279200654615857,0.767885811354607,-0.196386001801128,3.83291148368072,2020-04-01
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",4,878,0.982396268872086,0.279200654615857,0.767885811354607,-0.196386001801128,0.0776823667325238,2020-04-01
"chile","2020-04",30,60,10.637762405,29,60,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4,2889,0.982396268872086,0.279200654615857,0.767885811354607,-0.196386001801128,1.17245849810144,2020-04-01
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,190,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.296860635943666,2020-01-01
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,21,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.388863204914997,2020-01-01
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,43,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.376886539131747,2020-01-01
"croatia","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,148,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.319725179711689,2020-01-01
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,222,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.279440031168029,2020-02-01
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,38,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.37960850862794,2020-02-01
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,46,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.375253357434031,2020-02-01
"croatia","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,144,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.321902755308644,2020-02-01
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,209,-0.302606329186929,-0.2784272456003,0.366402366839254,-0.297676671344986,-0.286517151858132,2020-03-01
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,13,-0.302606329186929,-0.2784272456003,0.366402366839254,-0.297676671344986,-0.393218356108907,2020-03-01
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,42,-0.302606329186929,-0.2784272456003,0.366402366839254,-0.297676671344986,-0.377430933030986,2020-03-01
"croatia","2020-03",12,24,1.53570988,15,48,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,163,-0.302606329186929,-0.2784272456003,0.366402366839254,-0.297676671344986,-0.311559271223109,2020-03-01
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,190,0.982396268872086,1.51394814795163,1.63776660780454,-0.141019342393941,-0.296860635943666,2020-04-01
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,4,0.982396268872086,1.51394814795163,1.63776660780454,-0.141019342393941,-0.398117901202054,2020-04-01
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,46,0.982396268872086,1.51394814795163,1.63776660780454,-0.141019342393941,-0.375253357434031,2020-04-01
"croatia","2020-04",30,60,15.6130503,60,86,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,143,0.982396268872086,1.51394814795163,1.63776660780454,-0.141019342393941,-0.322447149207882,2020-04-01
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,222,1.05378530209759,1.59360927655394,0.132203690871965,-0.21222721985757,-0.279440031168029,2020-05-01
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,9,1.05378530209759,1.59360927655394,0.132203690871965,-0.21222721985757,-0.395395931705861,2020-05-01
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,54,1.05378530209759,1.59360927655394,0.132203690871965,-0.21222721985757,-0.370898206240122,2020-05-01
"croatia","2020-05",31,41,9.21425914,62,41,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,163,1.05378530209759,1.59360927655394,0.132203690871965,-0.21222721985757,-0.311559271223109,2020-05-01
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,292,0.982396268872086,1.51394814795163,0.399859320548867,-0.3033733016222,-0.241332458221324,2020-06-01
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,19,0.982396268872086,1.51394814795163,0.399859320548867,-0.3033733016222,-0.389951992713475,2020-06-01
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,72,0.982396268872086,1.51394814795163,0.399859320548867,-0.3033733016222,-0.361099116053826,2020-06-01
"croatia","2020-06",30,30,1.02380658,60,49,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,212,0.982396268872086,1.51394814795163,0.399859320548867,-0.3033733016222,-0.284883970160416,2020-06-01
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,250,1.05378530209759,1.59360927655394,0.834799718773832,-0.209378905720513,-0.264197001989347,2020-07-01
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,16,1.05378530209759,1.59360927655394,0.834799718773832,-0.209378905720513,-0.391585174411191,2020-07-01
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,55,1.05378530209759,1.59360927655394,0.834799718773832,-0.209378905720513,-0.370353812340883,2020-07-01
"croatia","2020-07",31,31,9.4702107,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,190,1.05378530209759,1.59360927655394,0.834799718773832,-0.209378905720513,-0.296860635943666,2020-07-01
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,295,1.05378530209759,1.59360927655394,0.834799718773832,-0.200833958635442,-0.239699276523608,2020-08-01
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",0,13,1.05378530209759,1.59360927655394,0.834799718773832,-0.200833958635442,-0.393218356108907,2020-08-01
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",0,65,1.05378530209759,1.59360927655394,0.834799718773832,-0.200833958635442,-0.364909873348497,2020-08-01
"croatia","2020-08",31,31,10.2380658,62,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",0,217,1.05378530209759,1.59360927655394,0.834799718773832,-0.200833958635442,-0.282162000664222,2020-08-01
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,720,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.00833186934718259,2020-01-01
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,27,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.385596841519566,2020-01-01
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,148,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.319725179711689,2020-01-01
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,381,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.192881401189084,2020-01-01
"czechia","2020-01",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,164,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.311014877323871,2020-01-01
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,623,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.0611380775733314,2020-02-01
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,19,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.389951992713475,2020-02-01
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,136,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.326257906502553,2020-02-01
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,332,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.219556702251778,2020-02-01
"czechia","2020-02",0,0,0,0,0,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,136,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.326257906502553,2020-02-01
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,406,0.0543388369405753,-0.796224581515304,0.634057996516156,-0.285572484661923,-0.179271553708118,2020-03-01
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,7,0.0543388369405753,-0.796224581515304,0.634057996516156,-0.285572484661923,-0.396484719504339,2020-03-01
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,90,0.0543388369405753,-0.796224581515304,0.634057996516156,-0.285572484661923,-0.351300025867531,2020-03-01
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,218,0.0543388369405753,-0.796224581515304,0.634057996516156,-0.285572484661923,-0.281617606764984,2020-03-01
"czechia","2020-03",17,34,2.623400814,2,56,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,91,0.0543388369405753,-0.796224581515304,0.634057996516156,-0.285572484661923,-0.350755631968292,2020-03-01
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,354,0.982396268872086,1.51394814795163,1.40356793183725,-0.0999815636888495,-0.207580036468528,2020-04-01
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Male victims",5,8,0.982396268872086,1.51394814795163,1.40356793183725,-0.0999815636888495,-0.3959403256051,2020-04-01
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Sexual violence by IPFM* (domestic violence): Female victims",5,62,0.982396268872086,1.51394814795163,1.40356793183725,-0.0999815636888495,-0.366543055046213,2020-04-01
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Male victims",5,206,0.982396268872086,1.51394814795163,1.40356793183725,-0.0999815636888495,-0.288150333555848,2020-04-01
"czechia","2020-04",30,50,19.300734654,60,79,"Europe","Eastern Europe","Physical asault by IPFM* (domestic violence): Female victims",5,78,0.982396268872086,1.51394814795163,1.40356793183725,-0.0999815636888495,-0.357832752658394,2020-04-01
"eswatini","2020-01",0,0,0,0,0,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,459,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.15041867704847,2020-01-01
"eswatini","2020-01",0,0,0,0,0,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,961,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.122867060369332,2020-01-01
"eswatini","2020-01",0,0,0,0,0,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,459,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.15041867704847,2020-01-01
"eswatini","2020-01",0,0,0,0,0,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,961,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.122867060369332,2020-01-01
"eswatini","2020-02",0,0,0,0,0,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,393,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.18634867439822,2020-02-01
"eswatini","2020-02",0,0,0,0,0,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,921,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.101091304399786,2020-02-01
"eswatini","2020-02",0,0,0,0,0,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,393,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.18634867439822,2020-02-01
"eswatini","2020-02",0,0,0,0,0,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,921,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,0.101091304399786,2020-02-01
"eswatini","2020-03",5,10,0,0,5,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,329,-0.802329561765435,-0.875885710117612,-1.07224664267409,-0.314766561954062,-0.221189883949494,2020-03-01
"eswatini","2020-03",5,10,0,0,5,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,743,-0.802329561765435,-0.875885710117612,-1.07224664267409,-0.314766561954062,0.00418919033530632,2020-03-01
"eswatini","2020-03",5,10,0,0,5,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,329,-0.802329561765435,-0.875885710117612,-1.07224664267409,-0.314766561954062,-0.221189883949494,2020-03-01
"eswatini","2020-03",5,10,0,0,5,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,743,-0.802329561765435,-0.875885710117612,-1.07224664267409,-0.314766561954062,0.00418919033530632,2020-03-01
"eswatini","2020-04",30,60,0.82043004,0,58,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,220,0.982396268872086,-0.875885710117612,0.700971903935381,-0.305636543440409,-0.280528818966506,2020-04-01
"eswatini","2020-04",30,60,0.82043004,0,58,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,573,0.982396268872086,-0.875885710117612,0.700971903935381,-0.305636543440409,-0.0883577725352638,2020-04-01
"eswatini","2020-04",30,60,0.82043004,0,58,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,306,0.982396268872086,-0.875885710117612,0.700971903935381,-0.305636543440409,-0.233710943631983,2020-04-01
"eswatini","2020-04",30,60,0.82043004,0,58,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,547,0.982396268872086,-0.875885710117612,0.700971903935381,-0.305636543440409,-0.102512013915469,2020-04-01
"eswatini","2020-05",31,62,0.82043004,0,62,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,306,1.05378530209759,-0.875885710117612,0.834799718773832,-0.305636543440409,-0.233710943631983,2020-05-01
"eswatini","2020-05",31,62,0.82043004,0,62,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,547,1.05378530209759,-0.875885710117612,0.834799718773832,-0.305636543440409,-0.102512013915469,2020-05-01
"eswatini","2020-05",31,62,0.82043004,0,62,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,306,1.05378530209759,-0.875885710117612,0.834799718773832,-0.305636543440409,-0.233710943631983,2020-05-01
"eswatini","2020-05",31,62,0.82043004,0,62,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,547,1.05378530209759,-0.875885710117612,0.834799718773832,-0.305636543440409,-0.102512013915469,2020-05-01
"eswatini","2020-06",30,60,7.38387034,0,60,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,331,0.982396268872086,-0.875885710117612,0.767885811354607,-0.23259639555375,-0.220101096151017,2020-06-01
"eswatini","2020-06",30,60,7.38387034,0,60,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,733,0.982396268872086,-0.875885710117612,0.767885811354607,-0.23259639555375,-0.00125474865708016,2020-06-01
"eswatini","2020-06",30,60,7.38387034,0,60,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,331,0.982396268872086,-0.875885710117612,0.767885811354607,-0.23259639555375,-0.220101096151017,2020-06-01
"eswatini","2020-06",30,60,7.38387034,0,60,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,733,0.982396268872086,-0.875885710117612,0.767885811354607,-0.23259639555375,-0.00125474865708016,2020-06-01
"eswatini","2020-07",31,62,23.79247104,0,62,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,295,1.05378530209759,-0.875885710117612,0.834799718773832,-0.0499960263935186,-0.239699276523608,2020-07-01
"eswatini","2020-07",31,62,23.79247104,0,62,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,597,1.05378530209759,-0.875885710117612,0.834799718773832,-0.0499960263935186,-0.0752923189535363,2020-07-01
"eswatini","2020-07",31,62,23.79247104,0,62,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,295,1.05378530209759,-0.875885710117612,0.834799718773832,-0.0499960263935186,-0.239699276523608,2020-07-01
"eswatini","2020-07",31,62,23.79247104,0,62,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,597,1.05378530209759,-0.875885710117612,0.834799718773832,-0.0499960263935186,-0.0752923189535363,2020-07-01
"eswatini","2020-08",31,48,41.84193234,0,48,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Male victims",0,301,1.05378530209759,-0.875885710117612,0.366402366839254,0.150864385580752,-0.236432913128176,2020-08-01
"eswatini","2020-08",31,48,41.84193234,0,48,"Africa","Sub-Saharan Africa","Sexual violence by IPFM* (domestic violence): Female victims",0,685,1.05378530209759,-0.875885710117612,0.366402366839254,0.150864385580752,-0.0273856558205353,2020-08-01
"eswatini","2020-08",31,48,41.84193234,0,48,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Male victims",0,301,1.05378530209759,-0.875885710117612,0.366402366839254,0.150864385580752,-0.236432913128176,2020-08-01
"eswatini","2020-08",31,48,41.84193234,0,48,"Africa","Sub-Saharan Africa","Physical asault by IPFM* (domestic violence): Female victims",0,685,1.05378530209759,-0.875885710117612,0.366402366839254,0.150864385580752,-0.0273856558205353,2020-08-01
