"Entity","Month","Total_lockdown_length","Total_stay_at_home_requirements","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","previous_month_connected_lockdown","long_lockdown","Region","Sub.region","Indicator","Violence_Value","Population","Violence_per_million_people","lockdown_intensity_per_day","dv_percent_change_prev","pre_march_avg_dv","dv_percent_change_baseline","lag_deaths_per_million","lag_violence"
"bosnia and herzegovina","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",38,3277152,11.5954340842292,0,0.117647058823526,11.6564626846725,-0.00523560209424218,0,22.2754391618088
"bosnia and herzegovina","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",33,3277152,10.0697190731464,0,0.0645161290322541,10.7410336780229,-0.0625000000000023,0,11.5954340842292
"bosnia and herzegovina","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",95,3277152,28.9885852105731,0,0.301369863013699,31.2466434269756,-0.0722656249999995,0,10.0697190731464
"bosnia and herzegovina","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",57,3277152,17.3931511263438,0,0.5,11.6564626846725,0.492146596858637,0,28.9885852105731
"bosnia and herzegovina","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",55,3277152,16.7828651219107,0,0.66666666666667,10.7410336780229,0.562499999999999,0,17.3931511263438
"bosnia and herzegovina","2020-03",12,12,36,3.74441847,31,45,0,12,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",88,3277152,26.8525841950572,3,-0.0736842105263153,31.2466434269756,-0.140624999999999,0,16.7828651219107
"bosnia and herzegovina","2020-03",12,12,36,3.74441847,31,45,0,12,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",49,3277152,14.9520071086114,3,-0.140350877192979,11.6564626846725,0.282722513089009,3.74441847,26.8525841950572
"bosnia and herzegovina","2020-03",12,12,36,3.74441847,31,45,0,12,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",44,3277152,13.4262920975286,3,-0.199999999999998,10.7410336780229,0.250000000000003,3.74441847,14.9520071086114
"bosnia and herzegovina","2020-04",30,30,83,16.53784835,30,90,1,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",86,3277152,26.2422981906241,2.76666666666667,-0.022727272727272,31.2466434269756,-0.160156249999999,3.74441847,13.4262920975286
"bosnia and herzegovina","2020-04",30,30,83,16.53784835,30,90,1,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",40,3277152,12.2057200886624,2.76666666666667,-0.183673469387753,11.6564626846725,0.0471204188481733,16.53784835,26.2422981906241
"bosnia and herzegovina","2020-04",30,30,83,16.53784835,30,90,1,42,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",35,3277152,10.6800050775796,2.76666666666667,-0.204545454545452,10.7410336780229,-0.00568181818181286,16.53784835,12.2057200886624
"bosnia and herzegovina","2020-05",20,20,40,27.45906878,31,72,1,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",NA,3277152,NA,2,0,31.2466434269756,NA,16.53784835,10.6800050775796
"bosnia and herzegovina","2020-05",20,20,40,27.45906878,31,72,1,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,2,0,11.6564626846725,NA,27.45906878,0
"bosnia and herzegovina","2020-05",20,20,40,27.45906878,31,72,1,62,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",NA,3277152,NA,2,0,10.7410336780229,NA,27.45906878,0
"bosnia and herzegovina","2020-06",0,0,0,9.67308108,30,60,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",NA,3277152,NA,0,0,31.2466434269756,NA,27.45906878,0
"bosnia and herzegovina","2020-06",0,0,0,9.67308108,30,60,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,0,0,11.6564626846725,NA,9.67308108,0
"bosnia and herzegovina","2020-06",0,0,0,9.67308108,30,60,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",NA,3277152,NA,0,0,10.7410336780229,NA,9.67308108,0
"bosnia and herzegovina","2020-07",0,0,0,44.93302163,4,35,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",NA,3277152,NA,0,0,31.2466434269756,NA,9.67308108,0
"bosnia and herzegovina","2020-07",0,0,0,44.93302163,4,35,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,0,0,11.6564626846725,NA,44.93302163,0
"bosnia and herzegovina","2020-07",0,0,0,44.93302163,4,35,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",NA,3277152,NA,0,0,10.7410336780229,NA,44.93302163,0
"bosnia and herzegovina","2020-08",0,0,0,84.24941345,0,31,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",NA,3277152,NA,0,0,31.2466434269756,NA,44.93302163,0
"bosnia and herzegovina","2020-08",0,0,0,84.24941345,0,31,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,3277152,NA,0,0,11.6564626846725,NA,84.24941345,0
"bosnia and herzegovina","2020-08",0,0,0,84.24941345,0,31,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",NA,3277152,NA,0,0,10.7410336780229,NA,84.24941345,0
"chile","2019-10",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",9903,19144605,517.273665348541,0,0,540.61183294197,-0.0431699163268853,0,0
"chile","2019-10",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1224,19144605,63.9344609094834,0,0,63.3807801205614,0.00873578374814601,0,517.273665348541
"chile","2019-10",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",3888,19144605,203.085934653653,0,0,209.65697646935,-0.0313418705466147,0,63.9344609094834
"chile","2019-11",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",9886,19144605,516.385686724798,0,-0.0017166515197419,540.61183294197,-0.0448124601441575,0,203.085934653653
"chile","2019-11",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1193,19144605,62.31520577207,0,-0.0253267973856211,63.3807801205614,-0.016812263062469,0,516.385686724798
"chile","2019-11",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",3983,19144605,208.048168139275,0,0.0244341563786024,209.65697646935,-0.00767352633414617,0,62.31520577207
"chile","2019-12",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",10883,19144605,568.46302130548,0,0.100849686425247,540.61183294197,0.0515179037276078,0,208.048168139275
"chile","2019-12",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1304,19144605,68.1131838447437,0,0.0930427493713322,63.3807801205614,0.074666227130377,0,568.46302130548
"chile","2019-12",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4224,19144605,220.636570981747,0,0.0605071554104956,209.65697646935,0.0523693258259027,0,68.1131838447437
"chile","2020-01",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",11178,19144605,583.872062129253,0,0.0271064963704869,540.61183294197,0.0800208699685022,0,220.636570981747
"chile","2020-01",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1222,19144605,63.8299928361019,0,-0.0628834355828212,63.3807801205614,0.0070875226635904,0,583.872062129253
"chile","2020-01",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",4294,19144605,224.292953550099,0,0.016571969696966,209.65697646935,0.0698091584035061,0,63.8299928361019
"chile","2020-02",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",9899,19144605,517.064729201778,0,-0.114421184469494,540.61183294197,-0.0435563972250668,0,224.292953550099
"chile","2020-02",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1124,19144605,58.7110572404079,0,-0.0801963993453366,63.3807801205614,-0.0736772704796447,0,517.064729201778
"chile","2020-02",0,0,0,0,0,0,0,0,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",3680,19144605,192.221255021976,0,-0.142990218910107,209.65697646935,-0.0831630873486481,0,58.7110572404079
"chile","2020-03",7,7,14,0.409144696,0,37,0,7,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",9578,19144605,500.297603424046,2,-0.032427517931104,540.61183294197,-0.0745714893041407,0,192.221255021976
"chile","2020-03",7,7,14,0.409144696,0,37,0,7,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",1035,19144605,54.0622279749308,2,-0.079181494661921,63.3807801205614,-0.147024888742377,0.409144696,500.297603424046
"chile","2020-03",7,7,14,0.409144696,0,37,0,7,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",3626,19144605,189.400617040675,2,-0.0146739130434796,209.65697646935,-0.0966166724799464,0.409144696,54.0622279749308
"chile","2020-04",30,30,60,10.637762405,29,60,1,37,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",7776,19144605,406.171869307306,2,-0.188139486322824,540.61183294197,-0.248681133934956,0.409144696,189.400617040675
"chile","2020-04",30,30,60,10.637762405,29,60,1,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",878,19144605,45.8614842144824,2,-0.151690821256038,63.3807801205614,-0.276413383880006,10.637762405,406.171869307306
"chile","2020-04",30,30,60,10.637762405,29,60,1,37,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",2889,19144605,150.904131999589,2,-0.203254274682847,209.65697646935,-0.280233195475611,10.637762405,45.8614842144824
"chile","2020-05",31,31,86,39.94275178,31,79,1,68,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,19144605,NA,2.7741935483871,0,540.61183294197,NA,10.637762405,150.904131999589
"chile","2020-05",31,31,86,39.94275178,31,79,1,68,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",NA,19144605,NA,2.7741935483871,0,63.3807801205614,NA,39.94275178,0
"chile","2020-05",31,31,86,39.94275178,31,79,1,68,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",NA,19144605,NA,2.7741935483871,0,209.65697646935,NA,39.94275178,0
"chile","2020-06",30,30,90,234.13305904,45,90,1,98,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,19144605,NA,3,0,540.61183294197,NA,39.94275178,0
"chile","2020-06",30,30,90,234.13305904,45,90,1,98,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",NA,19144605,NA,3,0,63.3807801205614,NA,234.13305904,0
"chile","2020-06",30,30,90,234.13305904,45,90,1,98,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",NA,19144605,NA,3,0,209.65697646935,NA,234.13305904,0
"chile","2020-07",31,31,93,194.4460235,62,93,1,129,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,19144605,NA,3,0,540.61183294197,NA,234.13305904,0
"chile","2020-07",31,31,93,194.4460235,62,93,1,129,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",NA,19144605,NA,3,0,63.3807801205614,NA,194.4460235,0
"chile","2020-07",31,31,93,194.4460235,62,93,1,129,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",NA,19144605,NA,3,0,209.65697646935,NA,194.4460235,0
"chile","2020-08",31,31,93,95.4841467,62,93,1,160,"Americas","Latin America and the Caribbean","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",NA,19144605,NA,3,0,540.61183294197,NA,194.4460235,0
"chile","2020-08",31,31,93,95.4841467,62,93,1,160,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Male victims",NA,19144605,NA,3,0,63.3807801205614,NA,95.4841467,0
"chile","2020-08",31,31,93,95.4841467,62,93,1,160,"Americas","Latin America and the Caribbean","Physical asault by IPFM* (domestic violence): Female victims",NA,19144605,NA,3,0,209.65697646935,NA,95.4841467,0
"croatia","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",176,4100719,42.9193026881383,0,0,45.2115836271639,-0.0507011866235177,0,0
"croatia","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",13,4100719,3.17017576673749,0,0,6.58421120783941,-0.518518518518519,0,42.9193026881383
"croatia","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",31,4100719,7.5596499052971,0,0,8.43754473300902,-0.104046242774566,0,3.17017576673749
"croatia","2019-10",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",136,4100719,33.1649157135614,0,0,33.2136876484343,-0.0014684287812051,0,7.5596499052971
"croatia","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",155,4100719,37.7982495264855,0,-0.11931818181818,45.2115836271639,-0.163969795037756,0,33.1649157135614
"croatia","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",19,4100719,4.63333381292403,0,0.461538461538463,6.58421120783941,-0.296296296296296,0,37.7982495264855
"croatia","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",25,4100719,6.09649185911056,0,-0.193548387096775,8.43754473300902,-0.277456647398844,0,4.63333381292403
"croatia","2019-11",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",121,4100719,29.5070205980951,0,-0.110294117647058,33.2136876484343,-0.111600587371512,0,6.09649185911056
"croatia","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",184,4100719,44.8701800830537,0,0.187096774193547,45.2115836271639,-0.00755124056094996,0,29.5070205980951
"croatia","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",44,4100719,10.7298256720346,0,1.31578947368421,6.58421120783941,0.629629629629631,0,44.8701800830537
"croatia","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",28,4100719,6.82807088220383,0,0.120000000000001,8.43754473300902,-0.190751445086705,0,10.7298256720346
"croatia","2019-12",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",132,4100719,32.1894770161038,0,0.0909090909090928,33.2136876484343,-0.0308370044052846,0,6.82807088220383
"croatia","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",190,4100719,46.3333381292403,0,0.0326086956521755,45.2115836271639,0.0248112189859772,0,32.1894770161038
"croatia","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",21,4100719,5.12105316165287,0,-0.522727272727273,6.58421120783941,-0.222222222222223,0,46.3333381292403
"croatia","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",43,4100719,10.4859659976702,0,0.535714285714291,8.43754473300902,0.242774566473992,0,5.12105316165287
"croatia","2020-01",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",148,4100719,36.0912318059345,0,0.121212121212119,33.2136876484343,0.0866372980910425,0,10.4859659976702
"croatia","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",222,4100719,54.1368477089018,0,0.168421052631578,45.2115836271639,0.197411003236246,0,36.0912318059345
"croatia","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",38,4100719,9.26666762584805,0,0.80952380952381,6.58421120783941,0.407407407407407,0,54.1368477089018
"croatia","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",46,4100719,11.2175450207634,0,0.0697674418604583,8.43754473300902,0.329479768786123,0,9.26666762584805
"croatia","2020-02",0,0,0,0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",144,4100719,35.1157931084768,0,-0.0270270270270273,33.2136876484343,0.0572687224669601,0,11.2175450207634
"croatia","2020-03",12,12,24,1.53570988,15,48,0,12,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",209,4100719,50.9666719421643,2,-0.0585585585585587,45.2115836271639,0.127292340884574,0,35.1157931084768
"croatia","2020-03",12,12,24,1.53570988,15,48,0,12,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",13,4100719,3.17017576673749,2,-0.657894736842105,6.58421120783941,-0.518518518518519,1.53570988,50.9666719421643
"croatia","2020-03",12,12,24,1.53570988,15,48,0,12,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",42,4100719,10.2421063233057,2,-0.0869565217391315,8.43754473300902,0.213872832369937,1.53570988,3.17017576673749
"croatia","2020-03",12,12,24,1.53570988,15,48,0,12,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",163,4100719,39.7491269214009,2,0.131944444444447,33.2136876484343,0.196769456681353,1.53570988,10.2421063233057
"croatia","2020-04",30,30,60,15.6130503,60,86,1,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",190,4100719,46.3333381292403,2,-0.0909090909090902,45.2115836271639,0.0248112189859772,1.53570988,39.7491269214009
"croatia","2020-04",30,30,60,15.6130503,60,86,1,42,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",4,4100719,0.97543869745769,2,-0.692307692307692,6.58421120783941,-0.851851851851852,15.6130503,46.3333381292403
"croatia","2020-04",30,30,60,15.6130503,60,86,1,42,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",46,4100719,11.2175450207634,2,0.0952380952380966,8.43754473300902,0.329479768786123,15.6130503,0.97543869745769
"croatia","2020-04",30,30,60,15.6130503,60,86,1,42,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",143,4100719,34.8719334341124,2,-0.122699386503069,33.2136876484343,0.0499265785609402,15.6130503,11.2175450207634
"croatia","2020-05",10,31,41,9.21425914,62,41,1,52,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",222,4100719,54.1368477089018,1.32258064516129,0.168421052631578,45.2115836271639,0.197411003236246,15.6130503,34.8719334341124
"croatia","2020-05",10,31,41,9.21425914,62,41,1,52,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",9,4100719,2.1947370692798,1.32258064516129,1.25,6.58421120783941,-0.666666666666667,9.21425914,54.1368477089018
"croatia","2020-05",10,31,41,9.21425914,62,41,1,52,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",54,4100719,13.1684224156788,1.32258064516129,0.173913043478263,8.43754473300902,0.560693641618495,9.21425914,2.1947370692798
"croatia","2020-05",10,31,41,9.21425914,62,41,1,52,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",163,4100719,39.7491269214009,1.32258064516129,0.139860139860141,33.2136876484343,0.196769456681353,9.21425914,13.1684224156788
"croatia","2020-06",0,30,30,1.02380658,60,49,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",292,4100719,71.2070249144113,1,0.315315315315314,45.2115836271639,0.57497303128371,9.21425914,39.7491269214009
"croatia","2020-06",0,30,30,1.02380658,60,49,0,0,"Europe","Southern Europe","Sexual violence by IPFM* (domestic violence): Female victims",19,4100719,4.63333381292403,1,1.11111111111111,6.58421120783941,-0.296296296296296,1.02380658,71.2070249144113
"croatia","2020-06",0,30,30,1.02380658,60,49,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Male victims",72,4100719,17.5578965542384,1,0.333333333333333,8.43754473300902,1.08092485549133,1.02380658,4.63333381292403
"croatia","2020-06",0,30,30,1.02380658,60,49,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",212,4100719,51.6982509652576,1,0.300613496932515,33.2136876484343,0.556534508076361,1.02380658,17.5578965542384
"croatia","2020-07",0,31,31,9.4702107,62,62,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",250,4100719,60.9649185911056,1,-0.143835616438356,45.2115836271639,0.348435814455232,1.02380658,51.6982509652576
