"Region","Sub.region","Entity","Indicator","n_missing","Month","Violence_Value"
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-05",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-06",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-07",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-08",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-10",3888
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-11",3983
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-12",4224
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-01",4294
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-02",3680
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-03",3626
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-04",2889
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-05",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-06",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-07",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-08",NA
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-10",176
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-11",155
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-12",184
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-01",190
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-02",222
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-03",209
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-04",190
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-05",222
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-06",292
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-07",250
"Europe","Southern Europe","CROATIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-08",295
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-10",13
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-11",19
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-12",44
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-01",21
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-02",38
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-03",13
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-04",4
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-05",9
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-06",19
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-07",16
"Europe","Southern Europe","CROATIA","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-08",13
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-10",31
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-11",25
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-12",28
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-01",43
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-02",46
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-03",42
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-04",46
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-05",54
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-06",72
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-07",55
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-08",65
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-10",136
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-11",121
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-12",132
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-01",148
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-02",144
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-03",163
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-04",143
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-05",163
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-06",212
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-07",190
"Europe","Southern Europe","CROATIA","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-08",217
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2019-10",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2019-11",444
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2019-12",928
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-01",720
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-02",623
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-03",406
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-04",354
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-05",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-06",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-07",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",5,"2020-08",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2019-10",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2019-11",8
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2019-12",39
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-01",27
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-02",19
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-03",7
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-04",8
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-05",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-06",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-07",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Male victims",5,"2020-08",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2019-10",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2019-11",56
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2019-12",292
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-01",148
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-02",136
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-03",90
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-04",62
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-05",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-06",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-07",NA
"Europe","Eastern Europe","CZECHIA","Sexual violence by IPFM* (domestic violence): Female victims",5,"2020-08",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2019-10",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2019-11",313
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2019-12",408
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-01",381
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-02",332
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-03",218
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-04",206
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-05",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-06",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-07",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Male victims",5,"2020-08",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2019-10",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2019-11",67
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2019-12",189
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-01",164
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-02",136
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-03",91
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-04",78
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-05",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-06",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-07",NA
"Europe","Eastern Europe","CZECHIA","Physical asault by IPFM* (domestic violence): Female victims",5,"2020-08",NA
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2019-10",382
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2019-11",334
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2019-12",427
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-01",459
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-02",393
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-03",329
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-04",220
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-05",306
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-06",331
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-07",295
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Male victims",0,"2020-08",301
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-10",1013
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-11",693
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2019-12",795
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-01",961
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-02",921
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-03",743
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-04",573
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-05",547
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-06",733
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-07",597
"Africa","Sub-Saharan Africa","ESWATINI","Sexual violence by IPFM* (domestic violence): Female victims",0,"2020-08",685
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-10",382
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-11",334
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2019-12",427
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-01",459
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-02",393
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-03",329
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-04",306
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-05",306
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-06",331
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-07",295
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Male victims",0,"2020-08",301
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-10",1013
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-11",693
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2019-12",795
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-01",961
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-02",921
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-03",743
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-04",547
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-05",547
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-06",733
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-07",597
"Africa","Sub-Saharan Africa","ESWATINI","Physical asault by IPFM* (domestic violence): Female victims",0,"2020-08",685
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2019-10",452
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2019-11",370
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2019-12",454
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-01",481
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-02",452
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-03",466
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-04",NA
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-05",NA
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-06",NA
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-07",NA
"Asia","Western Asia","GEORGIA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",5,"2020-08",NA
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2019-10",469
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2019-11",389
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2019-12",424
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2020-01",391
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2020-02",365
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2020-03",350
"Europe","Southern Europe","GREECE","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",1,"2020-04",335
