Entity,Month,Total_lockdown_length,Total_stay_at_home_requirements,Lockdown_severity,Monthly_death_rates_per_million_people,Monthly_income_support,Monthly_workplace_closures_severity,previous_month_connected_lockdown,long_lockdown,Region,Sub.region,Indicator,Violence_Value,Population,Violence_per_million_people,lockdown_intensity_per_day,dv_percent_change_prev,pre_march_avg_dv,dv_percent_change_baseline,lag_deaths_per_million,lag_violence,Month_date,Year,Month_num,pandemic_period,is_pandemic,months_since_pandemic,policy_economic_interaction,policy_health_interaction,cumulative_stress_interaction,prev_lockdown_intensity,lockdown_escalation,economic_support_change,cumulative_lockdown_days,cumulative_deaths,baseline_dv,dv_change_from_baseline,dv_z_score,lockdown_z_score,economic_z_score,policy_response_type,avg_economic_support,avg_lockdown_intensity,high_economic_support,high_lockdown_intensity,policy_combination
peru,2019-10,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9895,33050211,299.392944874089,0,0,347.785979339134,-0.139146018930957,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,347.7859793391336,-13.914601893095726,0.3146643406457832,-1.0111760288266571,-1.0038065059266323,Minimal_Response,28.166666666666668,2.3576850094876667,0,0,Low_Lock_Low_Econ
poland,2019-10,0,0,0,0,0,0,0,0,Europe,Eastern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1343,37839255,35.4922421173461,0,0,37.2681756022945,-0.0476528152035181,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,37.268175602294505,-4.765281520351814,0.032120760427303226,-0.5571198220350404,-0.9916962524303602,Economic_Focus,27.833333333333332,0.7722222222222217,0,0,Low_Lock_Low_Econ
serbia,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,502,8731081,57.4957442268603,0,0,53.2809167616244,0.079105760963026,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,53.28091676162436,7.910576096302599,1.1626863328159922,-0.83296331194755,-0.799966784075718,Economic_Focus,31.166666666666668,1.7017710309930434,0,0,Low_Lock_Low_Econ
spain,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,7925,46757980,169.489785486884,0,0,163.309022331589,0.0378470403352554,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,163.3090223315892,3.784704033525541,0.10249289107745001,-0.9888913208751487,-0.9922229021396616,Economic_Focus,54.5,1.6226958525345616,0,0,Low_Lock_Low_Econ
sweden,2019-10,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1717,10110233,169.827935716219,0,0,177.048343000601,-0.0407821229050287,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,177.0483430006012,-4.078212290502868,-1.1595369660783992,-0.9486832980505138,-0.932146261409873,Quick_Strong,57.2,1,0,0,Low_Lock_Low_Econ
uruguay,2019-10,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,251,3475842,72.2127185297836,0,0,80.9588007740283,-0.108031272210376,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,80.95880077402826,-10.803127221037618,-0.5151930012218123,-1.0259184095890768,-0.8801398947088243,Quick_Strong,33.166666666666664,1.0611111111111118,0,0,Low_Lock_Low_Econ
albania,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,81,2877239,28.1519887642285,0,-0.276785714285714,35.2421192678119,-0.201183431952662,0,38.9262066863406,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,35.24211926781194,-20.118343195266192,-1.2065927100289526,-0.9362816758985391,-0.9025079870488365,Economic_Focus,34.5,1.5,0,0,Low_Lock_Low_Econ
bosnia and herzegovina,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,32,3277152,9.76457607092988,0,0.0666666666666671,11.6564626846725,-0.162303664921465,0,31.7348722305221,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,11.656462684672528,-16.230366492146477,-0.8179178119091981,-0.5848701395456302,-0.5854299221871253,Economic_Focus,30.5,2.883333333333335,0,0,Low_Lock_Low_Econ
chile,2019-11,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9886,19144605,516.385686724798,0,-0.0017166515197419,540.61183294197,-0.0448124601441575,0,203.085934653653,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,540.61183294197,-4.48124601441575,0.012902277714189656,-0.5855400437691198,-0.37796447300922725,Gradual_Moderate,14.5,2,0,0,Low_Lock_Low_Econ
croatia,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,155,4100719,37.7982495264855,0,-0.11931818181818,45.2115836271639,-0.163969795037756,0,33.1649157135614,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,45.21158362716392,-16.396979503775572,-1.3495092067318268,-0.9419019710882414,-0.9423479229798976,Economic_Focus,53.5,1.3870967741935483,0,0,Low_Lock_Low_Econ
czechia,2019-11,0,0,0,0,0,0,0,0,Europe,Eastern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,444,10701777,41.4884369203358,0,0,63.4240463055809,-0.34585635359116,0,0,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,63.42404630558085,-34.58563535911596,-0.6138908142893459,-0.6415330278717849,-0.42445845424208223,Economic_Focus,31,1.833333333333335,0,0,Low_Lock_Low_Econ
eswatini,2019-11,0,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,2054,1162233,1767.28762649142,0,-0.263799283154121,2195.08480657493,-0.194888679836939,0,2400.55135243966,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,2195.084806574928,-19.488867983693787,-0.3298920270158973,-1.0357901374181986,NA,Gradual_Moderate,0,1.9247311827956983,0,0,Low_Lock_Low_Econ
georgia,2019-11,0,0,0,0,0,0,0,0,Asia,Western Asia,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,370,3987805,92.7828717803403,0,-0.181415929203538,110.787764196093,-0.162516976007242,0,113.34556228301,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,110.78776419609267,-16.251697600724192,-1.953217886511837,-0.408248290463863,NA,Gradual_Moderate,0,1.43478260869565,0,0,Low_Lock_Low_Econ
greece,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,177,10413936,16.9964555188355,0,-0.011173184357542,18.0719374499709,-0.0595111583421895,0,37.353792072469,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,18.07193744997086,-5.951115834218953,-0.6197548519785055,-0.8722648675178575,-0.7883434421762952,Economic_Focus,39.4,1.587096774193548,0,0,Low_Lock_Low_Econ
guatemala,2019-11,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,76,17971382,4.22894577612339,0,0.0270270270270248,4.08427131536128,0.0354223433242497,0,3.33864140220268,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,4.084271315361278,3.5422343324249725,-0.8396277134962401,-1.044465935734187,-0.8016354838487111,Economic_Focus,22.166666666666668,2,0,0,Low_Lock_Low_Econ
guyana,2019-11,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,147,787215,186.734246679751,0,-0.222222222222221,189.528908874958,-0.0147453083109911,0,190.545149673215,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,189.528908874958,-1.4745308310991114,0.25362926099916294,-0.5479915243123415,NA,Gradual_Moderate,0,1.466666666666665,0,0,Low_Lock_Low_Econ
iceland,2019-11,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,92,341628,269.29876942171,0,0.352941176470588,234.758275082839,0.147132169576059,0,199.04691652909,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,234.7582750828386,14.71321695760594,0.5982432486278936,NA,-0.9707235388086428,Quick_Strong,54.666666666666664,0,0,0,Low_Lock_Low_Econ
latvia,2019-11,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,14,1882408,7.43728245948806,0,0,6.79980110581766,0.0937499999999999,0,7.43728245948806,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,6.7998011058176555,9.374999999999986,1.0674831155667988,-1.044465935734187,-0.5447490084556729,Gradual_Moderate,20.666666666666668,1,0,0,Low_Lock_Low_Econ
lithuania,2019-11,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,603,2715340,222.071637437669,0,0.010050251256283,235.918890452024,-0.0586949734623786,0,234.2248116258,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,235.91889045202439,-5.869497346237859,-0.8768193691669607,-0.8703882797784892,-0.8636009409526659,Quick_Strong,49,0.8333333333333334,0,0,Low_Lock_Low_Econ
mongolia,2019-11,0,0,0,0,0,0,0,0,Asia,Eastern Asia,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,32,3287242,9.7346042670421,0,0.454545454545455,6.75338171026045,0.441441441441442,0,3.04206383345066,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,6.753381710260454,44.1441441441442,2.0702569975643206,-0.8703882797784892,-0.30151134457776363,Gradual_Moderate,4.5,0.5,0,0,Low_Lock_Low_Econ
myanmar,2019-11,0,0,0,0,0,0,0,0,Asia,South-eastern Asia,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,27,54473253,0.495656097497978,0,0.421052631578948,0.345123504924518,0.436170212765958,0,0.348795031572651,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,0.3451235049245178,43.61702127659583,0.21956002583068893,-0.8657053056756351,-0.3618136134933164,Gradual_Moderate,3,1.6049382716049383,0,0,Low_Lock_Low_Econ
namibia,2019-11,0,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,247,2548663,96.9135582067931,0,0.0833333333333329,89.3017240804296,0.0852372583479785,0,69.8405399223044,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,89.30172408042962,8.523725834797855,1.145117776029091,-0.9368523269847576,-0.30151134457776363,Gradual_Moderate,0.3333333333333333,1.3655913978494616,0,0,Low_Lock_Low_Econ
new zealand,2019-11,0,0,0,0,0,0,0,0,Oceania,Australia and New Zealand,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1127,4829021,233.380637607498,0,0.126999999999995,221.53558661269,0.0534679379323217,0,155.932227256829,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,221.5355866126902,5.346793793232168,1.1880005596323735,-0.7198328966992942,-0.9979442815571433,Economic_Focus,56,1.3030303030303032,0,0,Low_Lock_Low_Econ
peru,2019-11,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,10508,33050211,317.940481529755,0,0.061950480040424,347.785979339134,-0.08581570155902,0,5.90011361803409,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,347.7859793391336,-8.581570155901996,0.5258919811609141,-1.0111760288266571,-1.0038065059266323,Minimal_Response,28.166666666666668,2.3576850094876667,0,0,Low_Lock_Low_Econ
poland,2019-11,0,0,0,0,0,0,0,0,Europe,Eastern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1380,37839255,36.4700626373326,0,0.0275502606105747,37.2681756022945,-0.0214154020706279,0,11.0467291176848,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,37.268175602294505,-2.1415402070627905,0.12045285160239767,-0.5571198220350404,-0.9916962524303602,Economic_Focus,27.833333333333332,0.7722222222222217,0,0,Low_Lock_Low_Econ
serbia,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,432,8731081,49.4784093745093,0,-0.139442231075697,53.2809167616244,-0.0713671539122957,0,57.4957442268603,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,53.28091676162436,-7.136715391229574,-0.2210361961922205,-0.83296331194755,-0.799966784075718,Economic_Focus,31.166666666666668,1.7017710309930434,0,0,Low_Lock_Low_Econ
spain,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,7479,46757980,159.951306707433,0,-0.0562776025236585,163.309022331589,-0.0205605028810874,0,139.12063780343,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,163.3090223315892,-2.0560502881087444,-0.3046570065953474,-0.9888913208751487,-0.9922229021396616,Economic_Focus,54.5,1.6226958525345616,0,0,Low_Lock_Low_Econ
sweden,2019-11,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1644,10110233,162.607528431837,0,-0.0425160163075127,177.048343000601,-0.0815642458100562,0,115.130877794805,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,177.0483430006012,-8.156424581005622,-1.6437829530562074,-0.9486832980505138,-0.932146261409873,Quick_Strong,57.2,1,0,0,Low_Lock_Low_Econ
uruguay,2019-11,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,269,3475842,77.3913198586127,0,0.0717131474103586,80.9588007740283,-0.0440653873489689,0,72.2127185297836,2019-11-01,2019,11,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,80.95880077402826,-4.406538734896889,0.08134626335081713,-1.0259184095890768,-0.8801398947088243,Quick_Strong,33.166666666666664,1.0611111111111118,0,0,Low_Lock_Low_Econ
albania,2019-12,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,113,2877239,39.2737621031829,0,0.395061728395059,35.2421192678119,0.114398422090729,0,28.1519887642285,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,35.24211926781194,11.43984220907289,-0.1953531054332635,-0.9362816758985391,-0.9025079870488365,Economic_Focus,34.5,1.5,0,0,Low_Lock_Low_Econ
bosnia and herzegovina,2019-12,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,34,3277152,10.374862075363,0,0.0625000000000002,11.6564626846725,-0.109947643979056,0,39.9737332903692,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,11.656462684672528,-10.994764397905616,-0.6134383589318979,-0.5848701395456302,-0.5854299221871253,Economic_Focus,30.5,2.883333333333335,0,0,Low_Lock_Low_Econ
chile,2019-12,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,10883,19144605,568.46302130548,0,0.100849686425247,540.61183294197,0.0515179037276078,0,208.048168139275,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,540.61183294197,5.1517903727607814,0.9224476935459356,-0.5855400437691198,-0.37796447300922725,Gradual_Moderate,14.5,2,0,0,Low_Lock_Low_Econ
croatia,2019-12,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,184,4100719,44.8701800830537,0,0.187096774193547,45.2115836271639,-0.00755124056094996,0,29.5070205980951,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,45.21158362716392,-0.7551240560949963,-0.7164306229855767,-0.9419019710882414,-0.9423479229798976,Economic_Focus,53.5,1.3870967741935483,0,0,Low_Lock_Low_Econ
czechia,2019-12,0,0,0,0,0,0,0,0,Europe,Eastern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,928,10701777,86.7145708605216,0,1.09009009009009,63.4240463055809,0.367219152854512,0,6.26064250824886,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,63.42404630558085,36.72191528545122,1.5843076132029668,-0.6415330278717849,-0.42445845424208223,Economic_Focus,31,1.833333333333335,0,0,Low_Lock_Low_Econ
eswatini,2019-12,0,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,2444,1162233,2102.84856823029,0,0.189873417721519,2195.08480657493,-0.0420194418312951,0,1767.28762649142,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,2195.084806574928,-4.201944183129653,0.5879009664330098,-1.0357901374181986,NA,Gradual_Moderate,0,1.9247311827956983,0,0,Low_Lock_Low_Econ
georgia,2019-12,0,0,0,0,0,0,0,0,Asia,Western Asia,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,454,3987805,113.847091319661,0,0.227027027027029,110.787764196093,0.0276143051154401,0,92.7828717803403,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,110.78776419609267,2.761430511544014,0.21034654162438352,-0.408248290463863,NA,Gradual_Moderate,0,1.43478260869565,0,0,Low_Lock_Low_Econ
greece,2019-12,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,211,10413936,20.2613113812107,0,0.192090395480227,18.0719374499709,0.1211477151966,0,40.714673107267,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,18.07193744997086,12.114771519659996,-0.1462342909162767,-0.8722648675178575,-0.7883434421762952,Economic_Focus,39.4,1.587096774193548,0,0,Low_Lock_Low_Econ
guatemala,2019-12,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,75,17971382,4.17330175275335,0,-0.0131578947368411,4.08427131536128,0.021798365122616,0,3.28299737883264,2019-12-01,2019,12,pre_pandemic,0,NA,0,0,0,0,0,0,0,0,4.084271315361278,2.1798365122615952,-0.878597776147961,-1.044465935734187,-0.8016354838487111,Economic_Focus,22.166666666666668,2,0,0,Low_Lock_Low_Econ
