description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"The Regional Government in Catalonia (Spain) ordered a lockdown on the towns of Igualada, Vilanova of the Camí, Santa Margarida and Òdena starting from March 13 2020. Disobeying the confinement can lead to fines up to 60,000 euros according to the Civil Protection Act.",2020-03-12,2020-03-13,NA,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,NA
"The Spanish Ministry of Health agrees to lift the internal border restrictions in the region of Barcelona (Igualada , Vilanova del Camí, Santa Margarida de Montbui and Òdena) on April 5 because meanwhile, concerning the spread of the virus the neighbouring regions are in the same situation as the restricted areas",2020-03-12,2020-03-13,2020-04-05,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,23
"The Regional Government in Catalonia ordered a lockdown on the towns of Igualada, Vilanova of the Camí, Santa Margarida and Òdena starting from March 13 2020. Disobeying the confinement can lead to fines up to 60,000 euros according to the Civil Protection Act. UPDATE: has an end date",2020-03-12,2020-03-13,2020-04-05,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,23
"Started 13 February 2020, due to the implementation of the Plan territorial de Protección civil de la región de Murcia, people are only allowed to go out only if it is for work or health reasons. End date: 15 April, 2021 UPDATE: End date: 15 April, 2021",2020-03-13,2020-03-13,2021-04-15,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),398
"Government of Castilla and Leon published an order on March 13 where the visits to residential centers for public and private senior citizens are suspended, except in individual circumstances in which additional care and humanization measures are applied, to be adopted by the center's management. Moreover, users are forbidden to leave their residence. 
",2020-03-13,2020-03-14,2020-03-27,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"On March 14, 2020, Spain announced a nationwide state of alarm. During the validity of the state of alarm, people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. Per royal decree, this policy is set to last for 15 calendar days until March 29, 2020.",2020-03-14,2020-03-14,2020-03-29,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"Government of Castilla and Leon published an order on March 13 where the visits to residential centers for public and private senior citizens are suspended, except in individual circumstances in which additional care and humanization measures are applied, to be adopted by the center's management. Moreover, users are forbidden to leave their residence. 

The original policy was supposed to end on March 27, but it actually ended on March 14 with the Royal Decree 463/2020 that declared the national state of alarm for the management of the health crisis situation caused by COVID-19. UPDATE: The original policy was supposed to end on March 27, but it actually ended on March 14 with the Royal Decree 463/2020 that declared the national state of alarm for the management of the health crisis situation caused by COVID-19.",2020-03-13,2020-03-14,2020-03-14,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"On March 9 2020, the Interterritorial Council of the National Health System announce that for areas where there is significant community transmission, it is recommended that all older people who suffer from chronic, multiple pathological diseases or with congenital or acquired immunosuppression states that limit the exits from their home or residence.

At the moment, only the Community of Madrid, the city of Vitoria and the town of Labastida are in this situation. UPDATE: On March 14, 2020, Spain announced a nationwide lockdown.",2020-03-14,2020-03-14,2020-03-14,Spain,National,1,Lockdown,NA,All (Travelers + Residents),Voluntary/Recommended but No Penalties,0
"From March 14, the national government of Spain has put in place a curfew affecting the entirety of the country, the region of Aragon included. The population of Aragon will therefore only be able to circulate on the roads or spaces of public use to carry out the following activities, which must be carried out individually, unless accompanied by people with disabilities, minors, elderly, or by other justified reason:

a) Acquisition of food, pharmaceutical and basic necessities, as well as acquisition of other products and provision of services in accordance with the provisions of article 10.
b) Assistance to health centers, services and establishments.
c) Displacement to the workplace to carry out their work, professional or business service.
d) Return to the place of habitual residence.
e) Assistance and care for the elderly, minors, dependents, people with disabilities or especially vulnerable people.
f) Travel to financial and insurance entities.
g) Due to force majeure or situation of need.
h) Any other activity of a similar nature 
",2020-03-14,2020-03-15,2020-03-30,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"On March 17, 2020 in Catalonia, President of the Generalitat Quim Torra has announced the confinement of all Catalonia in a line of hardening of the measures to try to contain the contagion of coronavirus.",2020-03-13,2020-03-17,2020-03-31,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied)",14
"On March 14, 2020, Spain announced a nationwide state of alarm. During the validity of the state of alarm, people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. Per royal decree, this policy is set to last for 15 calendar days until March 29, 2020. UPDATE: The state of alarm was set to end on March 29, 2020. On March 25, 2020, it was announced that it would be extended until April 12, 2020 and will be subject to the same conditions established previously.",2020-03-25,2020-03-29,2020-04-12,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",14
"On March 28, 2020, the Government of Spain announced that starting March 30, 2020, ""stricter lockdown measures [will be enforced that require] ...  all non-essential workers to stay at home for the next two weeks,"" so until April 12, 2020. All other restrictions from the original lockdown procedure are still in effect, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature.",2020-03-28,2020-03-30,2020-04-12,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"On March 14, 2020, Spain announced a nationwide state of alarm. During the validity of the state of alarm, people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. Per royal decree, this policy is set to last for 15 calendar days until March 29, 2020. UPDATE: On March 28, 2020, the Government of Spain announced that starting March 30, 2020, ""stricter lockdown measures [will be enforced that require] ...  all non-essential workers to stay at home for the next two weeks."" All other restrictions from the original lockdown procedure are still in effect.",2020-03-28,2020-03-30,2020-03-30,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",0
"The Spanish Ministry of Health agrees to lift the internal border restrictions in the region of Barcelona (Igualada , Vilanova del Camí, Santa Margarida de Montbui and Òdena) on April 5 because meanwhile, concerning the spread of the virus the neighbouring regions are in the same situation as the restricted areas UPDATE: The internal border restrictions have been lifted because now the whole country is under similar conditions",2020-04-05,2020-04-05,NA,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 28, 2020, the Government of Spain announced that starting March 30, 2020, ""stricter lockdown measures [will be enforced that require] ...  all non-essential workers to stay at home for the next two weeks,"" so until April 12, 2020. All other restrictions from the original lockdown procedure are still in effect, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. UPDATE: On April 9, 2020, it was announced that the state of alarm would be extended until April 26, 2020 with all the lockdown measures still in place.",2020-04-09,2020-04-12,2020-04-26,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"On April 13, 2020, the stricter lockdown measures regarding nonessential labor that were added to the original lockdown policy are lifted. Starting April 13, 2020, the original lockdown measures are again in place, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. This is set to last until April 26, 2020, as the previous extension of the state of alarm decreed.",2020-04-13,2020-04-13,2020-04-26,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"On March 28, 2020, the Government of Spain announced that starting March 30, 2020, ""stricter lockdown measures [will be enforced that require] ...  all non-essential workers to stay at home for the next two weeks,"" so until April 12, 2020. All other restrictions from the original lockdown procedure are still in effect, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. UPDATE: On April 13, 2020, the stricter lockdown measures regarding nonessential labor that were added to the original lockdown policy are lifted. Starting April 13, 2020, the original lockdown measures are again in place, set to last until April 26, 2020, as the previous extension of the state of alarm decreed.",2020-04-13,2020-04-13,2020-04-13,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"Starting April 26, 2020, there are exceptions to the lockdown. Persons under 14 years of age and a responsible adult may now stay outside their home during specific times. All other people will only be able to leave their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature.This policy is is in effect during the validity of the state of alarm until May 10, 2020.",2020-04-25,2020-04-26,2020-05-10,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"On April 21,  Spain's Health Minister Salvador Illa announced that, beginning April 26, restrictions regarding outside activity for children 14 years old or younger (imposed under the March 14 lockdown) will be lifted on April 26. Under these lifted restrictions, children are allowed ""outside for one hour a day with a parent and must remain within a kilometer, or around 0.6 miles, of their homes."" All other restrictions imposed by the March 14 lockdown are still in place.",2020-04-21,2020-04-26,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 14, the National Government of Spain announces that, starting March 15, the entire population of the country (around 47 million) will be confined to a lockdown to curb the spread of Covid-19.  Under this lockdown, ""citizens can leave their homes ONLY to buy groceries and pharmaceutical products, go to the bank or hospital, ... to take care of dependents/elderly,"" or walk the dog. Additionally, while ""on the street, they must be unaccompanied at all times, and while they can go to work, most workplaces are to be closed to the public until further notice."" (Ex. ""Bars, restaurants, and shops selling anything but food and other staples must shut down. All leisure and sports activities also have to close, including cinemas, theaters, swimming pools or football grounds."") This lockdown is set to be in place as long as the National State of Alarm is still active.
 UPDATE: From April 26, 2020, exceptions to the lockdown are extended. Persons under 14 years of age (children) and a responsible adult may now stay outside their home during the state of alarm at specific times. Details can be found in the source document.",2020-04-25,2020-04-26,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"On April 13, 2020, the stricter lockdown measures regarding nonessential labor that were added to the original lockdown policy are lifted. Starting April 13, 2020, the original lockdown measures are again in place, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. This is set to last until April 26, 2020, as the previous extension of the state of alarm decreed. UPDATE: The state of alarm was previously updated to last until April 26, 2020. On April 24, 2020, it was announced that it would be extended until May 10, 2020 and will be subject to the same conditions established previously.",2020-04-24,2020-04-26,2020-05-10,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"On April 13, 2020, the stricter lockdown measures regarding nonessential labor that were added to the original lockdown policy are lifted. Starting April 13, 2020, the original lockdown measures are again in place, meaning that people will only be able to leaver their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature. This is set to last until April 26, 2020, as the previous extension of the state of alarm decreed. UPDATE: Starting April 26, 2020, there are exceptions to the lockdown. Persons under 14 years of age and a responsible adult may now stay outside their home during specific times. This policy is is in effect during the validity of the state of alarm.",2020-04-25,2020-04-26,2020-04-26,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"From May 1, 2020, exceptions to the lockdown are extended in that ""the performance of non-professional activities of care and harvesting of agricultural productions"" is now allowed. Details can be found in the source document. This policy is in effect until May 4, 2020, when Spain will enter a gradual, asymmetric de-escalation period.",2020-04-30,2020-05-01,2020-05-04,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),3
"From May 2, 2020, exceptions to the lockdown are extended. Persons 14 years of age and older may now engage in non-professional physical activity in the open air during the state of alarm at specific times. Details can be found in the source document. This policy is in effect until May 4, 2020, when Spain will enter a gradual, asymmetric de-escalation period.",2020-04-30,2020-05-02,2020-05-04,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"On March 14, the National Government of Spain announces that, starting March 15, the entire population of the country (around 47 million) will be confined to a lockdown to curb the spread of Covid-19.  Under this lockdown, ""citizens can leave their homes ONLY to buy groceries and pharmaceutical products, go to the bank or hospital, ... to take care of dependents/elderly,"" or walk the dog. Additionally, while ""on the street, they must be unaccompanied at all times, and while they can go to work, most workplaces are to be closed to the public until further notice."" (Ex. ""Bars, restaurants, and shops selling anything but food and other staples must shut down. All leisure and sports activities also have to close, including cinemas, theaters, swimming pools or football grounds."") This lockdown is set to be in place as long as the National State of Alarm is still active. UPDATE: From May 2, 2020, exceptions to the lockdown are extended. Persons 14 years of age and older may now engage in non-professional physical activity in the open air during the state of alarm at specific times. Details can be found in the source document.",2020-04-30,2020-05-02,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"On March 14, the National Government of Spain announces that, starting March 15, the entire population of the country (around 47 million) will be confined to a lockdown to curb the spread of Covid-19.  Under this lockdown, ""citizens can leave their homes ONLY to buy groceries and pharmaceutical products, go to the bank or hospital, ... to take care of dependents/elderly,"" or walk the dog. Additionally, while ""on the street, they must be unaccompanied at all times, and while they can go to work, most workplaces are to be closed to the public until further notice."" (Ex. ""Bars, restaurants, and shops selling anything but food and other staples must shut down. All leisure and sports activities also have to close, including cinemas, theaters, swimming pools or football grounds."") This lockdown is set to be in place as long as the National State of Alarm is still active.
 UPDATE: From May 2, 2020, exceptions for persons under 14 years of age (children) and a responsible adult are narrowed in that staying outside is now allowed between 12 pm and 7 pm (previously, from 9 am to 9 pm).",2020-04-30,2020-05-02,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"Starting April 26, 2020, there are exceptions to the lockdown. Persons under 14 years of age and a responsible adult may now stay outside their home during specific times. All other people will only be able to leave their homes to purchase food, pharmaceutical products, and basic necessities; to assist health centers, services, and establishment; to travel to the workplace; to return to the place of habitual residence; to assist and care for the elderly, minors, dependents, people with disabilities, or especially vulnerable people; to travel to financial and insurance institutions; out of force majeure or situation of necessity; or any other activity of a similar nature.This policy is is in effect during the validity of the state of alarm until May 10, 2020. UPDATE: On April 25, 2020, Spain’s Prime Minister Pedro Sanchez announces that, starting May 2, 2020, individuals will be allowed out to exercise alone. People living together will be permitted to take short walks together. Additionally, individuals that are 70 and ""vulnerable adults"" who may be accompanied by a carer are allowed to leave their home for exercise. However, these activities are subject to certain time frames and social distancing measures.",2020-04-25,2020-05-02,2020-05-02,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"From May 1, 2020, exceptions to the lockdown are extended in that ""the performance of non-professional activities of care and harvesting of agricultural productions"" is now allowed. Details can be found in the source document. This policy is in effect until May 4, 2020, when Spain will enter a gradual, asymmetric de-escalation period. UPDATE: From May 2, 2020, exceptions to the lockdown are extended. Persons 14 years of age and older may now engage in non-professional physical activity in the open air during the state of alarm at specific times. Details can be found in the source document.",2020-04-30,2020-05-02,2020-05-02,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"On May 4, Leon y Castilla enters Phase 0 of Spain’s 4-phase de-escalation plan. Additionally, the lockdown exemption ""regarding legitimate reasons for leaving the house-"" such as ""to buy food, basic or pharmaceutical items; to attend medical centres; to go to and from work; [and] to look after children, older people or those with disabilities or who are especially vulnerable-"" is now included in this phase 0. Due to the asynchronous nature of the de-escalation plan, this loosened restriction will now be coded subnationally, as how long it lasts locally largely depends on how well Leon y Castilla handles its virus environment. 
",2020-04-28,2020-05-04,2020-05-11,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"On May 4, Leon y Castilla entered Phase 0 of Spain’s 4-phase de-escalation plan. Additionally, the lockdown lifting allowing “Individuals that are 14 or older, under 70, and non-dependent” to ""take one-hour walks, accompanied by one person, once a day within 1 km of their homes, or do sports like riding a bike alone within their city"" is now included in this phase 0. Due to the asynchronous nature of the de-escalation plan, this loosened restriction on lockdown will now be coded subnationally, as how long it lasts locally largely depends on how well where the Leon y Castilla community handles its virus environment. (More info on the curfew side of this policy can be found in the ""curfew"" category.)
",2020-04-28,2020-05-04,2020-05-11,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"Spain on the 28th April announces that starting from May 4, as part of Phase 0 of the 4-phase de-escalation plan, athletes qualified by the Higher Sports Council as being of a high level or of national interest, may carry out training individually, outdoors, and only in the province where they reside. They may freely access, if necessary, those natural spaces in which they must carry out their sporting activities, such as the sea, rivers, or reservoirs. Additionally, trainers are allowed to accompany athletes, and an additional person may be in attendance in the case of paralympic sports. Due to the asynchronous nature of the de-escalation plan, this loosened restriction on lockdown will now be coded subnationally, as how long it lasts locally largely depends on how well where the Leon y Castilla community handles its virus environment.",2020-04-28,2020-05-04,2020-05-11,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
"On May 4,  The Leon y Castilla Community, in Spain, enters to Phase 0. Due to this transition, citizens are now allowed to leave their house to go to visit businesses as long as the business meets a set of specific requirements and the citizen already has an appointment scheduled at said business.
",2020-04-28,2020-05-04,2020-05-11,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
"As of May 4, 2020, Madrid enters Phase 0 of Spain’s 4-phase de-escalation plan. The lockdown exemption regarding legitimate reasons for leaving the house, such as to buy food, basic or pharmaceutical items; to attend medical centers; to go to and from work; and to look after children, older people, or those with disabilities or who are especially vulnerable is now included in this phase 0.",2020-04-28,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"As of May 4, 2020, Madrid enters Phase 0 of Spain’s 4-phase de-escalation plan. Athletes who are designated as high-performance by the Superior Council for Sports may train individually in the open air in their province of residence. If necessary, they may access natural areas required for their activity, such as the sea, rivers, or reservoirs. There is no limit on training times, and trainers are allowed to accompany athletes; an additional person may be in attendance in the case of paralympic sports.",2020-04-28,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On May 4, Andalusia entered Phase 0 of Spain’s 4-phase de escalation plan. Additionally, the lockdown lifting allowing “Individuals 14 or older, under 70, and non-dependent” to ""take one-hour walks, accompanied by one person, once a day within half a mile of their homes, or do sports like riding a bike alone within their city"" is now included in this phase 0. Due to the asynchronous nature of the de escalation plan, this loosened restriction on lockdown will now be coded subnationally, as how long it lasts locally largely depends on how well Andalusia handles its virus environment. (More info on the curfew side of this policy can be found in the ""curfew"" category.)
",2020-04-28,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On May 4, Andalusia enters Phase 0 of Spain’s 4-phase de escalation plan. Additionally, the lockdown exemption ""regarding legitimate reasons for leaving the house-"" such as ""to buy food, basic or pharmaceutical items; to attend medical centres; to go to and from work; [and] to look after children, older people or those with disabilities or who are especially vulnerable-"" is now included in this phase 0. Due to the asynchronous nature of the de escalation plan, this loosened restriction will now be coded subnationally, as how long it lasts locally largely depends on how well Andalusia handles its virus environment.
",2020-04-28,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On May 4, Andalucia transitions to Phase 0. Due to this transition, citizens are now allowed to leave their house to go to visit businesses as long as the business meets a set of specific requirements and the citizen already has an appointment scheduled at said business.",2020-04-28,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Spain on May 3 announces that starting from May 4, as part of Phase 0 of the 4-phase de-escalation plan, athletes qualified by the Higher Sports Council as being of a high level or of national interest, may carry out training individually, outdoors, and only in the province where they reside. They may freely access, if necessary, those natural spaces in which they must carry out their sporting activities, such as the sea, rivers, or reservoirs. Additionally, trainers are allowed to accompany athletes, and an additional person may be in attendance in the case of paralympic sports.

*As the 4-phase deescalation plan is asynchronous for each national region, whenever Andalusia enters a phase, it's effects will be coded sub- nationally.



",2020-05-03,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On May 4, with Andalucia's transition into Phase 0 of Spains deescalation plan, ""Athletes who are designated as “high-performance” by the Superior Council for Sports may train individually in the open air in their province of residence. If necessary, they may access natural areas that are required for their activity, such as the sea, rivers or reservoirs. There is no limit on training times and trainers are allowed to accompany athletes; an additional person may be in attendance in the case of paralympic sports.""


",2020-05-03,2020-05-04,2020-05-19,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"4 MAY: Spain on May 3 announces that starting from May 4, as part of Phase 0 of the 4-phase de-escalation plan, athletes qualified by the Higher Sports Council as being of a high level or of national interest, may carry out training individually, outdoors, and only in the province where they reside. They may freely access, if necessary, those natural spaces in which they must carry out their sporting activities, such as the sea, rivers, or reservoirs. Additionally, trainers are allowed to accompany athletes, and an additional person may be in attendance in the case of paralympic sports. Due to the asynchronous nature of the de escalation plan, this loosened restriction on lockdown will now be coded subnationally, as how long it lasts locally largely depends on how well where the Valencian Community handles its virus environment.",2020-05-04,2020-05-04,NA,Spain,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
