"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M11",110.774,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M11",14.516,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M10",902.54,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M10",884.756,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M10",304.859,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M10",597.682,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M10",902.54,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M10",304.859,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M10",469.748,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M10",110.15,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M10",17.784,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M10",902.54,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M10",304.859,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M10",213.841,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M10",126.281,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M10",129.625,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M10",110.15,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M10",17.784,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M09",900.835,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M09",886.165,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M09",287.955,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M09",612.88,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M09",900.835,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M09",287.955,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M09",489.762,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M09",108.448,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M09",14.67,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M09",900.835,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M09",287.955,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M09",221.369,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M09",135.748,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M09",132.644,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M09",108.448,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M09",14.67,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M08",914.651,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M08",899.78,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M08",281.327,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M08",633.324,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M08",914.651,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M08",281.327,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M08",501.091,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M08",117.362,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M08",14.87,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M08",914.651,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M08",281.327,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M08",222.012,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M08",143.294,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M08",135.785,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M08",117.362,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M08",14.87,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M07",982.263,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M07",964.506,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M07",327.044,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M07",655.219,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M07",982.263,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M07",327.044,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M07",522.526,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M07",114.936,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M07",17.757,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M07",982.263,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M07",327.044,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M07",229.462,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M07",153.776,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M07",139.288,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M07",114.936,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M07",17.757,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M06",957.495,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M06",940.584,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M06",312.609,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M06",644.886,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M06",957.495,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M06",312.609,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M06",517.03,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M06",110.945,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M06",16.91,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M06",957.495,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M06",312.609,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M06",233.006,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M06",149.778,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M06",134.246,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M06",110.945,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M06",16.91,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M05",893.987,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M05",880.383,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M05",285.709,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M05",608.278,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M05",893.987,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M05",285.709,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M05",499.861,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M05",94.812,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M05",13.604,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M05",893.987,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M05",285.709,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M05",229.423,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M05",137.067,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M05",133.372,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M05",94.812,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M05",13.604,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M04",841.841,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M04",829.083,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M04",284.228,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M04",557.613,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M04",841.841,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M04",284.228,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M04",453.217,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M04",91.638,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M04",12.758,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M04",841.841,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M04",284.228,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M04",202.566,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M04",132.654,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M04",117.997,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M04",91.638,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M04",12.758,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M03",756.945,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M03",739.647,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M03",281.032,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M03",475.913,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M03",756.945,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M03",281.032,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M03",372.648,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M03",85.966,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M03",17.298,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M03",756.945,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M03",281.032,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M03",158.027,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M03",110.325,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M03",104.297,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M03",85.966,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M03",17.298,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M02",760.46,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M02",748.346,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M02",297.253,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M02",463.207,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M02",760.46,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M02",297.253,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M02",364.65,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M02",86.443,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M02",12.115,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M02",760.46,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M02",297.253,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M02",153.394,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M02",111.939,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M02",99.317,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M02",86.443,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M02",12.115,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M01",768.873,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M01",757.986,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M01",300.795,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M01",468.078,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M01",768.873,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M01",300.795,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M01",372.258,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M01",84.933,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M01",10.886,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M01",768.873,,,"Frequency: Monthly",
