description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"The Government of Greece decided on 31st March, 2020, additional restrictive measures in the movement of citizens to be implemented for 14 days in 5 municipalities, in the Municipalities of Kastoria, Orestidos, Nestori, Xanthi and Myki. 3 Municipalities of the Regional Unit of Kastoria and the Municipality of Xanthi and Myki of the Regional Unit of Xanthi. The measures take effect from 31st March, 2020 at 20:00. The possibility of exceptional travel is suspended for the following three reasons: the movement to provide assistance to people in need B4, the transition to a B5 ceremony and the short movement for individual or physical exercise or for the needs of a pet B6.",2020-03-31,2020-03-31,2020-04-14,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),14
"The government of Greece announced on 1st April, 2020, that the Community Fustani of the Municipal Unit of Exaplatanos of the Municipality of Almopia in Edessa is quarantined. The quarantine starts tonight at 20:00 and lasts 14 days. The decision, which aims to limit the spread of the disease in the wider area, was taken in consultation with the Region of Central Macedonia, the Regional Unit of Pella and the relevant Municipality.",2020-04-01,2020-04-01,2020-04-15,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"A migrant camp north of the Greek capital Athens has been placed under quarantine after 20 asylum seekers tested positive. Movement in and out of the Ritsona camp, will be restricted from 2 April 2020 for at least 14 days.",2020-04-02,2020-04-02,2020-04-16,Greece,National,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),14
"Prime Minister Kyriakos Mitsotakis announces nationwide restriction of movement in Greece from March 23 until Apr 6, movement is allowed for specific reasons workplace during normal business hours, shopping for food or medicine, visiting a doctor or assisting a person in need of help, exercising individually or in pairs or walking a pet, attending a ceremony. Exit is allowed only after sending SMS. UPDATE: The original policy for lockdown was meant to last until April 6. On the 4th of April, Prime Minister Kyriakos Mitsotakis announced extension of lockdown until April 27.",2020-04-04,2020-04-06,2020-04-27,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,21
"A Roma settlement in Larissa (central Greece), with an estimated population of 3,000, was placed under strict quarantine on 9th April 2020, after several residents tested positive for COVID-19. The lockdown applied from 09.4.2020 at 23.00 to 23.04.2020.",2020-04-09,2020-04-09,2020-04-23,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),14
"The Government of Greece announced that a lockdown will be in effect from 23rd March, 2020 to 11th April, 2020.
 UPDATE: The lockdown is extended until 4th May, 2020.

The first phase of the reopening plan is to begin on May 4 when some retail stores, including bookshops and hair salons, will reopen, with others to follow suit later in the month. 

Also from May 4, citizens will no longer have to send an SMS or carry a document citing their reason for leaving their home but a ban on leaving the region where they live will remain in place. 

Cafes and restaurants will be allowed to reopen from June 1, but only with outdoor seating, as will shopping malls and year-round hotels. 

From May 4, churches will reopen for individual prayer, but with restrictions on the number of worshippers allowed inside the church, while services will be permitted to resume from May 17.  

As for schools, they are to open gradually, starting on May 11 with students of senior high",2020-04-12,2020-04-12,2020-05-04,Greece,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,22
Prime Minister Kyriakos Mitsotakis announces an extension of nationwide lockdown until April 27. UPDATE: April 23 Prime Minister Kyriakos Mitsotakis announced extention of lockdown until May 4. Movement is only allowed for specific reasons and after sending SMS. UPDATE: April 23 Prime Minister Kyriakos Mitsotakis announced extention of lockdown until May 4. Movement is only allowed for specific reasons and after sending SMS. The lockdown was set to end April 27. Now it was extended until May 4,2020-04-23,2020-04-27,2020-05-04,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"""The Government of Greece announced that a lockdown will be in effect from 23rd March, 2020 to 11th April, 2020."" This was then extended until 4th May, 2020.
 UPDATE: The Greek government’s announced plan for re-opening (subject to change at any time): 
May 4:  A mask or facial cover is mandatory in public transportation, taxis, elevators, hospitals, clinics and diagnostic centers.  Masks are recommended in supermarkets, hair salons and other enclosed spaces.  Violators may be fined 150 Euros.  Movement certificates are no longer required; however, travel restrictions from one prefecture to another remain in force.  Individual outdoor exercise is permitted while organized beaches remain closed.  Certain shops are open including:  small shops, bookstores, sports stores, garden shops, consumer goods stores, flower shops, electric appliance stores, optical shops, and – by appointment only – hairdressers.
May 11:  Remaining retail stores except for malls and department stores open.
May 18:  Travel restrictions within the country will be lifted, allowing movement from one prefecture to another, except for the islands.
June 1:  Shopping malls, department stores, and hotels that operate year round open.  Restaurants and coffee shops operate only open-air premises.
Early June:  Opening of entertainment and sports venues (cinemas, theaters, entertainment centers, gyms, etc.), with social distancing and at 60% capacity.  Interior spaces of restaurants and coffee shops open.
Mid June:  Seasonal tourist accommodations open, restoration of regular sea ferry traffic to the islands.  This is when the Greek government expects to open the islands for tourism",2020-05-04,2020-05-04,2020-06-15,Greece,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,42
"The village of Echinos in the Prefecture of Xanthi, northeastern Greece, is under lockdown due to spike of coronavirus infections and deaths in the last three days from 6 a.m on 18 June 2020  until 6 a.m. on June 25.",2020-06-18,2020-06-18,2020-06-25,Greece,"Other (e.g., county)",1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
The Vial migrant camp on Chios are under lockdown from 08.14.2020 until 09.12.2020 after two people tested positive.,2020-08-13,2020-08-13,2020-09-12,Greece,National,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),30
"The Ministry of Civil Protection of Greece, on 10th September, 2020 imposed restrictive measures – so-called: mini lockdown – against the spread of the coronavirus in four Regional Units in northern Greece: Regional Units of Pella, Pieria, Imathia, in western Macedonia, as well as the one of Kilkis in central Madeconia.

The mini lockdown measures are the following:
– Suspension of any kind of event, such as parties, trade fairs, religious processions, open markets, etc.

– Prohibition of any kind of gathering of citizens over 9 people for any reason, both in public and in private.

– In dining areas allowed is a maximum number of 4 people at each table; in case they are first-degree relatives up to 6 are allowed.

- The use of mask is mandatory, both indoors and outdoors

The restrictive measures are valid for 14 days, from 06:00 on Friday, 11. September 2020, until 06:00 on Friday, 25. September 2020,",2020-09-10,2020-09-11,2020-09-25,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),14
"On Chios island, the VIAL center for the identification and reception of migrants was placed under lockdown from October 14 to October 21, 2020.",2020-10-14,2020-10-14,2020-10-21,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
"Greece’s Civil Protection placed the regional unit of Kozani, a city in northern Greece, on lockdown from October 16, 2020 until October 29, 2020.",2020-10-16,2020-10-16,2020-10-29,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),13
"On Chios island, the VIAL center for the identification and reception of migrants was placed under lockdown from October 14 to October 21, 2020. UPDATE: The lockdown was set to last until Oct. 21, it has been extended to November 4.",2020-10-14,2020-10-22,2020-11-04,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"Greece’s Civil Protection announced on Monday evening the exact restrictions imposed to the whole regional units of Thessaloniki and Serres as the full lockdown goes into force from 06:00 am Tuesday, 3. November 2020, and for 14 days.",2020-11-02,2020-11-03,2020-11-16,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),13
"The Prime Minister of Greece, announced nationwide lockdown in Greece from 7th November, 2020. People are only allowed to go out for supermarket, essential work, medical reasons, assist someone in need. Movement is allowed only after sending SMS. Policy is set to end on 30th November, 2020.",2020-11-04,2020-11-07,2020-11-30,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,23
"By the enforcement of the Greek Government, outside movement of tourists staying in Greece starting from November 11 until November 30, 2020, is allowed only for essential reasons that apply to all residents in the country. Movement outdoors is allowed by sending an SMS to the five-digit mobile phone service 13033.",2020-11-07,2020-11-07,2021-01-07,Greece,National,1,Lockdown,NA,Foreign Travelers,Mandatory (Unspecified/Implied),61
"The Prime Minister of Greece, announced nationwide lockdown in Greece from 7th November, 2020. People are only allowed to go out for supermarket, essential work, medical reasons, assist someone in need. Movement is allowed only after sending SMS. Policy is set to end on 30th November, 2020. UPDATE: Lockdown was lifted in Santorini and Zakynthos, in Sparta and Agios Nikolaos in Crete.",2020-11-04,2020-11-07,2021-02-19,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,104
"Prime Minister announces nationwide lockdown in Greece from November 7, 2020. People are only allowed to go out for supermarket, essential work, medical reasons, assist someone in need. Movement is allowed only after sending SMS. Policy is set to end November 30. UPDATE: Nationwide lockdown has been extended until December 7. UPDATE: The original lockdown was set to end November 30, but it has been extended until December 7.",2020-11-19,2020-11-30,2020-12-07,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"The Prime Minister of Greece announces nationwide lockdown in Greece from November 7, 2020. People are only allowed to go out for supermarket, essential work, medical reasons, assist someone in need. Movement is allowed only after sending SMS. Policy is set to end November 30. UPDATE: Extended lockdown was set to end December 7. It has now been further extended until December 14.",2020-12-03,2020-12-07,2020-12-14,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"Prime Minister announces nationwide lockdown in Greece from November 7. People are only allowed to go out for supermarket, essential work, medical reasons, assist someone in need. Movement is allowed only after sending SMS. Policy is set to end November 30. Government announces further extension of lockdown until December 14. UPDATE: The extended policy was set to end December 14. It has now been extended to December 21.",2020-12-14,2020-12-14,2020-12-21,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,7
"The government of Greece, on 2nd January, 2021, after a relaxation of measures of Christmas, reinstated the lockdown and non-essential business closures. Following the extension, domestic restrictions will remain in place indefinitely. All nonessential businesses are closed. Schools may reopen from 11th January, 2021.",2021-01-02,2021-01-03,NA,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Greece will place the Attica region on lockdown, effective from Feb. 11  until at least Feb. 28, due to an increase in COVID-19 hospitalisations.",2021-02-09,2021-02-11,2021-02-28,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory with Fines,17
"The government of Greece, on 13th February, 2021, placed the regions of Achaia and Evia (excluding the island of Skyros) on lockdown due to an increase in active cases. The measure will last until 22nd February, 2021. Under the directive, all retail stores, except for grocery stores and pharmacies, schools and religious places must close.",2021-02-13,2021-02-13,2021-02-22,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),9
"The Civil Protection ministry of Greece, on 19th February, 2021, announced lockdown restrictions for the following areas: the islands of Kalymnos, Cephalonia and Thassos, the city of Heraklion in Crete, Corinth, Nemea and Argos in the Peloponnese and the municipality of Evosmos in the north. The restrictions lasts until 1st March, 2021.",2021-02-19,2021-02-20,2021-03-01,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),9
"Town of Malesina, part of Lokroi Municipality, is going under lockdown from Sunday 02-28-2021 at 06:00 until Monday 03-08-2021 at 06:00 for reasons of Public Health.",2021-02-27,2021-02-28,2021-03-08,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),8
"The municipal units of Ioanniton, Metsovo, Katerini, Hania and Skiathos are going into hard lockdown as of 13 March 2021 until 22 March 2021.",2021-03-12,2021-03-13,2021-03-22,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),9
"Head of Greece’s Civil Protection Nikos Hardalias announced on Friday, April 9, 2021, which regions are placed in the regime of “tougher lockdown” due to high epidemiological load, which regions keep it and in which ones the pandemic situation has improved.

Into “tougher lockdown” are placed from Saturday, April 10, 2021, the regional unit of Kos and the municipality of Ilida in Ilia, south Peloponnese.",2021-04-09,2021-04-10,NA,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"Head of Greece’s Civil Protection Nikos Hardalias announced on Friday, April 9, 2021, which regions are placed in the regime of “tougher lockdown” due to high epidemiological load, which regions keep it and in which ones the pandemic situation has improved.

From tougher lockdown into simple lockdown – from “deep red” to “red” – due to improvement of the situation are placed: 

Aitoloakarnania, Argoilida, Fokida (municalities of Lamia and Lokroi remain in deep red)
Municipalities in Evia: Mantoudi – Limni- Agia Anna and Istiaia-Aidipsos
Municipality of Katerini, Astypalaia, Skiathos",2021-04-09,2021-04-10,NA,Greece,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"The new measures (lockdown) come into force from 04/17/2021 in Greece: for the movement of employees, the relevant document from the Ergani Information System is needed. Movements are allowed using SMS only for the following reasons: 
Moving for health reasons (code 1).
Go to an operational supply store for basic necessities, where it is not possible to send them in time (code 2).
Switching to a public service, since electronic or telephone service is not possible and only for urgent needs (code 3).
Travel to provide assistance to people in need, as well as to transport a spouse or first degree relative to and from their place of work (code 4).
Transfer to a funeral under the conditions provided for by law or for the transfer of divorced parents that is necessary to ensure the communication of parents and children, in accordance with the written provisions (code 5).
Physical exercise outdoors or movement with a pet, individually or by two (2) people, provided that in the latter case the necessary distance of one and a half (1.5) meters is observed (code 6).",2021-04-17,2021-04-17,NA,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
