description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"The Ministry of Health (Myanmar) continues to place 2 townships in Yangon (Insein, Mayangone) under semi-lockdown (first announced on May April 18), with residents required to adhere to stay-at-home-measures.",2020-05-29,2020-05-29,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"The Ministry of Health (Myanmar) continues to place 5 townships in Yangon (Insein, Mayangone, Bahan, South Okkalapa, Pabedan) under semi-lockdown, with residents required to adhere to stay-at-home-measures announced on May 15. For South Okkalapa, Pabedan and Bahan, the stay-at-home restrictions were lifted on May 29. UPDATE: For some of the mentioned geographical targets, this policy was annulled on May 29.",2020-05-29,2020-05-29,2020-05-29,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",0
"The Ministry of Health (Myanmar) announces that the township Tarmwe, will remain under a semi-lockdown; effective May 15 (it was originally implemented April 24). The details of this are as follows: 
   1. Except for government employees, corporate employees and factory workers who have to go to work, all residents are required to stay at home; 2. Only one person per household is allowed to leave the house to procure essential supplies; 3. Only two persons per household are allowed to visit a clinic or hospital; 4. All are required to wear masks upon leaving their homes; 5. Only vehicles ferrying passengers to and from their workplaces will be allowed to pass through the townships; 6. When leaving the house to procure essential goods within the ward, only one person is allowed in a vehicle other than the driver; 7. Only two persons are allowed in each vehicle, apart from the driver, when visiting a clinic or hospital; 8. Should there be a need for more than the fixed number of people or passengers to leave their homes or commute, or during emergencies, permission is first required from the ward administrator. The Stay-at-home-restrictions were lifted on May 29. UPDATE: This policy was ended on May 29",2020-05-29,2020-05-29,2020-05-29,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied)",0
"The Ministry of Health (Myanmar) continues to place 2 townships in Yangon (Insein, Mayangone) under semi-lockdown (first announced on May April 18), with residents required to adhere to stay-at-home-measures.  As of June 27th, Insein will remain in lockdown until July 15th. UPDATE: The Myanmar government is extending the lockdowns at Insein township to July 15th.",2020-05-29,2020-05-29,2020-07-15,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",47
"The Ministry of Health (Myanmar) continues to place 2 townships in Yangon (Insein, Mayangone) under semi-lockdown (first announced on May April 18), with residents required to adhere to stay-at-home-measures.  While the lockdown for the Mayangone Township was lifted on  June 15th, this update records the end of the lockdown on the Insein Township starting July 1st. UPDATE: While the lockdown for the Insein Township was originally announced as ending on July 15th, it will now be lifted on July 1st.",2020-05-29,2020-05-29,2020-07-01,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",33
"The Ministry of Health and Sports imposed a lockdown in the Sittwe township of Rakhine, stating that locals will need to remain in their residences (excluding those working in government departments, organisations, companies, factories and workshops). Other instructions include: only one person from a household allowed to shop for essentials if necessary; two persons from a household allowed to go to a clinic if necessary.",2020-08-20,2020-08-20,NA,Myanmar,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Legal Penalties (Jail Time),NA
"As of 8:00 AM on September 21, the Burmese government enforced ""stay-at-home orders for all of Yangon Region (except for Coco Island). Residents can only leave home for work or essential and emergency purposes. Only one person per household may go grocery shopping, and only two people per household are allowed for medical treatment.""",2020-09-21,2020-09-21,NA,Myanmar,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Legal Penalties (Jail Time),NA
"Mandalay imposes semi-lockdown for seven townships with the highest number of COVID-19 cases and persons under investigation in Mandalay, from December 5 to 18. The Mandalay Region government has issued a statement on December 2 evening to Mandalay citizens to adhere to the measures from December 5 to December 18. The regional government issued a total of 17 rules. The rules instruct people not to gather and not to go outside unnecessarily. Meanwhile, permit cards are also issued for traveling from one township to another.",2020-12-02,2020-12-05,2020-12-18,Myanmar,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,13
"On December 27, the Myanmar government lifted stay-at-home orders in parts of three Yangon townships: Seikgyikanaungto, Twante and Kungyangon. Every other township in mainland Yangon Region remained under stay-at-home orders. The rest of the Yangon Region has been on stay-at-home order since 21 September 2020.",2020-12-27,2020-12-27,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory with Legal Penalties (Jail Time),NA
"As of 8:00 AM on September 21, the Burmese government enforced ""stay-at-home orders for all of Yangon Region (except for Coco Island). Residents can only leave home for work or essential and emergency purposes. Only one person per household may go grocery shopping, and only two people per household are allowed for medical treatment."" UPDATE: UPDATE: On December 27, the Myanmar government lifted stay-at-home orders in parts of three Yangon townships: Seikgyikanaungto, Twante and Kungyangon. Every other township in mainland Yangon Region remained under stay-at-home orders. The lockdown for the rest of the Yangon region will be coded as a separate policy",2020-12-27,2020-12-27,NA,Myanmar,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Legal Penalties (Jail Time),NA
"It was announced on the 14 Jan 2021 that the entire Saint Joseph Camp (P.L.N Village) has been placed under lockdown after an individual from the internally displaced persons (IDP) camp tested positive for COVID-19, said U Than Win, township administrator of the General Administration Department in Myitkyina.",2021-01-14,2021-01-14,NA,Myanmar,Municipal,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),NA
